CHANGENR,CHNGIND,FNAME,MANDANT,OBJECTCLAS,OBJECTID,TABKEY,TABNAME,TEXT_CASE,UNIT_NEW,UNIT_OLD,VALUE_NEW,VALUE_OLD,_DATAAGING
0000735009,U,EBELN,204,BANF,0010000253,204001000025300010,EBAN,1,,,4500000216,,00/00/0000
0000735009,U,EBELP,204,BANF,0010000253,204001000025300010,EBAN,1,,,00010,00000,00/00/0000
0000735011,I,KEY,204,BANF,0010000254,204001000025400010,EBAN,1,,,,,00/00/0000
0000735014,U,BEDAT,204,BANF,0010000254,204001000025400010,EBAN,1,,,20260601,00000000,00/00/0000
0000735014,U,BSMNG,204,BANF,0010000254,204001000025400010,EBAN,1,EA,EA,215.000,0.000,00/00/0000
0000735014,U,EBELN,204,BANF,0010000254,204001000025400010,EBAN,1,,,4500000217,,00/00/0000
0000735014,U,EBELP,204,BANF,0010000254,204001000025400010,EBAN,1,,,00010,00000,00/00/0000
0000735016,I,KEY,204,BANF,0010000255,204001000025500010,EBAN,1,,,,,00/00/0000
0000735021,U,BEDAT,204,BANF,0010000255,204001000025500010,EBAN,1,,,20260601,00000000,00/00/0000
0000735021,U,BSMNG,204,BANF,0010000255,204001000025500010,EBAN,1,EA,EA,135.000,0.000,00/00/0000
0000735021,U,EBELN,204,BANF,0010000255,204001000025500010,EBAN,1,,,4500000218,,00/00/0000
0000735021,U,EBELP,204,BANF,0010000255,204001000025500010,EBAN,1,,,00010,00000,00/00/0000
0000735023,I,KEY,204,BANF,0010000256,204001000025600010,EBAN,1,,,,,00/00/0000
0000735026,U,BEDAT,204,BANF,0010000256,204001000025600010,EBAN,1,,,20260601,00000000,00/00/0000
0000735026,U,BSMNG,204,BANF,0010000256,204001000025600010,EBAN,1,EA,EA,38.000,0.000,00/00/0000
0000735026,U,EBELN,204,BANF,0010000256,204001000025600010,EBAN,1,,,4500000219,,00/00/0000
0000735026,U,EBELP,204,BANF,0010000256,204001000025600010,EBAN,1,,,00010,00000,00/00/0000
0000735028,I,KEY,204,BANF,0010000257,204001000025700010,EBAN,1,,,,,00/00/0000
0000735033,U,BEDAT,204,BANF,0010000257,204001000025700010,EBAN,1,,,20260601,00000000,00/00/0000
0000735033,U,BSMNG,204,BANF,0010000257,204001000025700010,EBAN,1,EA,EA,61.000,0.000,00/00/0000
0000735033,U,EBELN,204,BANF,0010000257,204001000025700010,EBAN,1,,,4500000220,,00/00/0000
0000735033,U,EBELP,204,BANF,0010000257,204001000025700010,EBAN,1,,,00010,00000,00/00/0000
0000735035,I,KEY,204,BANF,0010000258,204001000025800010,EBAN,1,,,,,00/00/0000
0000735038,U,BEDAT,204,BANF,0010000258,204001000025800010,EBAN,1,,,20260601,00000000,00/00/0000
0000735038,U,BSMNG,204,BANF,0010000258,204001000025800010,EBAN,1,EA,EA,130.000,0.000,00/00/0000
0000735038,U,EBELN,204,BANF,0010000258,204001000025800010,EBAN,1,,,4500000221,,00/00/0000
0000735038,U,EBELP,204,BANF,0010000258,204001000025800010,EBAN,1,,,00010,00000,00/00/0000
0000735040,I,KEY,204,BANF,0010000259,204001000025900010,EBAN,1,,,,,00/00/0000
0000735043,U,BEDAT,204,BANF,0010000259,204001000025900010,EBAN,1,,,20260601,00000000,00/00/0000
0000735043,U,BSMNG,204,BANF,0010000259,204001000025900010,EBAN,1,EA,EA,176.000,0.000,00/00/0000
0000735043,U,EBELN,204,BANF,0010000259,204001000025900010,EBAN,1,,,4500000222,,00/00/0000
0000735043,U,EBELP,204,BANF,0010000259,204001000025900010,EBAN,1,,,00010,00000,00/00/0000
0000735045,I,KEY,204,BANF,0010000260,204001000026000010,EBAN,1,,,,,00/00/0000
0000735048,U,BEDAT,204,BANF,0010000260,204001000026000010,EBAN,1,,,20260601,00000000,00/00/0000
0000735048,U,BSMNG,204,BANF,0010000260,204001000026000010,EBAN,1,EA,EA,225.000,0.000,00/00/0000
0000735048,U,EBELN,204,BANF,0010000260,204001000026000010,EBAN,1,,,4500000223,,00/00/0000
0000735048,U,EBELP,204,BANF,0010000260,204001000026000010,EBAN,1,,,00010,00000,00/00/0000
0000735050,I,KEY,204,BANF,0010000261,204001000026100010,EBAN,1,,,,,00/00/0000
0000735053,U,BEDAT,204,BANF,0010000261,204001000026100010,EBAN,1,,,20260601,00000000,00/00/0000
0000735053,U,BSMNG,204,BANF,0010000261,204001000026100010,EBAN,1,EA,EA,64.000,0.000,00/00/0000
0000735053,U,EBELN,204,BANF,0010000261,204001000026100010,EBAN,1,,,4500000224,,00/00/0000
0000735053,U,EBELP,204,BANF,0010000261,204001000026100010,EBAN,1,,,00010,00000,00/00/0000
0000735055,I,KEY,204,BANF,0010000262,204001000026200010,EBAN,1,,,,,00/00/0000
0000735058,U,BEDAT,204,BANF,0010000262,204001000026200010,EBAN,1,,,20260601,00000000,00/00/0000
0000735058,U,BSMNG,204,BANF,0010000262,204001000026200010,EBAN,1,EA,EA,19.000,0.000,00/00/0000
0000735058,U,EBELN,204,BANF,0010000262,204001000026200010,EBAN,1,,,4500000225,,00/00/0000
0000735058,U,EBELP,204,BANF,0010000262,204001000026200010,EBAN,1,,,00010,00000,00/00/0000
0000735060,I,KEY,204,BANF,0010000263,204001000026300010,EBAN,1,,,,,00/00/0000
0000735063,U,BEDAT,204,BANF,0010000263,204001000026300010,EBAN,1,,,20260601,00000000,00/00/0000
0000735063,U,BSMNG,204,BANF,0010000263,204001000026300010,EBAN,1,EA,EA,215.000,0.000,00/00/0000
0000735063,U,EBELN,204,BANF,0010000263,204001000026300010,EBAN,1,,,4500000226,,00/00/0000
0000735063,U,EBELP,204,BANF,0010000263,204001000026300010,EBAN,1,,,00010,00000,00/00/0000
0000735065,I,KEY,204,BANF,0010000264,204001000026400010,EBAN,1,,,,,00/00/0000
0000735068,U,BEDAT,204,BANF,0010000264,204001000026400010,EBAN,1,,,20260601,00000000,00/00/0000
0000735068,U,BSMNG,204,BANF,0010000264,204001000026400010,EBAN,1,EA,EA,205.000,0.000,00/00/0000
0000735068,U,EBELN,204,BANF,0010000264,204001000026400010,EBAN,1,,,4500000227,,00/00/0000
0000735068,U,EBELP,204,BANF,0010000264,204001000026400010,EBAN,1,,,00010,00000,00/00/0000
0000735070,I,KEY,204,BANF,0010000265,204001000026500010,EBAN,1,,,,,00/00/0000
0000735073,U,BEDAT,204,BANF,0010000265,204001000026500010,EBAN,1,,,20260601,00000000,00/00/0000
0000735073,U,BSMNG,204,BANF,0010000265,204001000026500010,EBAN,1,EA,EA,21.000,0.000,00/00/0000
0000735073,U,EBELN,204,BANF,0010000265,204001000026500010,EBAN,1,,,4500000228,,00/00/0000
0000735073,U,EBELP,204,BANF,0010000265,204001000026500010,EBAN,1,,,00010,00000,00/00/0000
0000735075,I,KEY,204,BANF,0010000266,204001000026600010,EBAN,1,,,,,00/00/0000
0000735078,U,BEDAT,204,BANF,0010000266,204001000026600010,EBAN,1,,,20260601,00000000,00/00/0000
0000735078,U,BSMNG,204,BANF,0010000266,204001000026600010,EBAN,1,EA,EA,215.000,0.000,00/00/0000
0000735078,U,EBELN,204,BANF,0010000266,204001000026600010,EBAN,1,,,4500000229,,00/00/0000
0000735078,U,EBELP,204,BANF,0010000266,204001000026600010,EBAN,1,,,00010,00000,00/00/0000
0000735080,I,KEY,204,BANF,0010000267,204001000026700010,EBAN,1,,,,,00/00/0000
0000735083,U,BEDAT,204,BANF,0010000267,204001000026700010,EBAN,1,,,20260601,00000000,00/00/0000
0000735083,U,BSMNG,204,BANF,0010000267,204001000026700010,EBAN,1,EA,EA,220.000,0.000,00/00/0000
0000735083,U,EBELN,204,BANF,0010000267,204001000026700010,EBAN,1,,,4500000230,,00/00/0000
0000735083,U,EBELP,204,BANF,0010000267,204001000026700010,EBAN,1,,,00010,00000,00/00/0000
0000735085,I,KEY,204,BANF,0010000268,204001000026800010,EBAN,1,,,,,00/00/0000
0000735088,U,BEDAT,204,BANF,0010000268,204001000026800010,EBAN,1,,,20260601,00000000,00/00/0000
0000735088,U,BSMNG,204,BANF,0010000268,204001000026800010,EBAN,1,EA,EA,195.000,0.000,00/00/0000
0000735088,U,EBELN,204,BANF,0010000268,204001000026800010,EBAN,1,,,4500000231,,00/00/0000
0000735088,U,EBELP,204,BANF,0010000268,204001000026800010,EBAN,1,,,00010,00000,00/00/0000
0000735090,I,KEY,204,BANF,0010000269,204001000026900010,EBAN,1,,,,,00/00/0000
0000735093,U,BEDAT,204,BANF,0010000269,204001000026900010,EBAN,1,,,20260601,00000000,00/00/0000
0000735093,U,BSMNG,204,BANF,0010000269,204001000026900010,EBAN,1,EA,EA,95.000,0.000,00/00/0000
0000735093,U,EBELN,204,BANF,0010000269,204001000026900010,EBAN,1,,,4500000232,,00/00/0000
0000735093,U,EBELP,204,BANF,0010000269,204001000026900010,EBAN,1,,,00010,00000,00/00/0000
0000735095,I,KEY,204,BANF,0010000270,204001000027000010,EBAN,1,,,,,00/00/0000
0000735098,U,BEDAT,204,BANF,0010000270,204001000027000010,EBAN,1,,,20260601,00000000,00/00/0000
0000735098,U,BSMNG,204,BANF,0010000270,204001000027000010,EBAN,1,EA,EA,,,
0000735834,U,BANKN,204,BUPA_BUP,0000105800,20400001058000001,BUT0BK,1,,,6482309157,10011001,00/00/0000
0000735993,U,BANKL,204,BUPA_BUP,0000108800,20400001088000001,BUT0BK,1,,,820800001,011000390,00/00/0000
0000735993,U,BANKN,204,BUPA_BUP,0000108800,20400001088000001,BUT0BK,1,,,4729083150,283479234,00/00/0000
0000736392,U,BANKN,204,BUPA_BUP,0000109800,20400001098000001,BUT0BK,1,,,77420186,83429824,00/00/0000
0000735360,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,87654321,12345678,00/00/0000
0000735360,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,Silvia Cassano,"Mid West Supply, Inc.",00/00/0000
0000735372,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,12345678,87654321,00/00/0000
0000735372,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,"Mid West Supply, Inc.",Silvia Cassano,00/00/0000
0000735454,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,87654321,12345678,00/00/0000
0000735454,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,Silvia Cassano,"Mid West Supply, Inc.",00/00/0000
0000735466,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,12345678,87654321,00/00/0000
0000735466,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,"Mid West Supply, Inc.",Silvia Cassano,00/00/0000
0000735563,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,87654321,12345678,00/00/0000
0000735563,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,Silvia Cassano,"Mid West Supply, Inc.",00/00/0000
0000735610,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,12345678,87654321,00/00/0000
0000735610,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,"Mid West Supply, Inc.",Silvia Cassano,00/00/0000
0000735827,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,87654321,12345678,00/00/0000
0000735827,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,Silvia Cassano,"Mid West Supply, Inc.",00/00/0000
0000735851,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,12345678,87654321,00/00/0000
0000735851,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,"Mid West Supply, Inc.",Silvia Cassano,00/00/0000
0000736385,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,87654321,12345678,00/00/0000
0000736385,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,Silvia Cassano,"Mid West Supply, Inc.",00/00/0000
0000736390,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,12345678,87654321,00/00/0000
0000736390,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,"Mid West Supply, Inc.",Silvia Cassano,00/00/0000
0000736394,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,87654321,12345678,00/00/0000
0000736394,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,Silvia Cassano,"Mid West Supply, Inc.",00/00/0000
0000736396,U,BANKN,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,12345678,87654321,00/00/0000
0000736396,U,KOINH,204,BUPA_BUP,0001003070,204000100307001,BUT0BK,1,,,"Mid West Supply, Inc.",Silvia Cassano,00/00/0000
0000735008,I,KEY,204,EINKBELEG,4500000216,2044500000216,EKKO,1,,,,,00/00/0000
0000735013,I,KEY,204,EINKBELEG,4500000217,2044500000217,EKKO,1,,,,,00/00/0000
0000735020,I,KEY,204,EINKBELEG,4500000218,2044500000218,EKKO,1,,,,,00/00/0000
0000735025,I,KEY,204,EINKBELEG,4500000219,2044500000219,EKKO,1,,,,,00/00/0000
0000735032,I,KEY,204,EINKBELEG,4500000220,2044500000220,EKKO,1,,,,,00/00/0000
0000735037,I,KEY,204,EINKBELEG,4500000221,2044500000221,EKKO,1,,,,,00/00/0000
0000735042,I,KEY,204,EINKBELEG,4500000222,2044500000222,EKKO,1,,,,,00/00/0000
0000735047,I,KEY,204,EINKBELEG,4500000223,2044500000223,EKKO,1,,,,,00/00/0000
0000735052,I,KEY,204,EINKBELEG,4500000224,2044500000224,EKKO,1,,,,,00/00/0000
0000735057,I,KEY,204,EINKBELEG,4500000225,2044500000225,EKKO,1,,,,,00/00/0000
0000735062,I,KEY,204,EINKBELEG,4500000226,2044500000226,EKKO,1,,,,,00/00/0000
0000735067,I,KEY,204,EINKBELEG,4500000227,2044500000227,EKKO,1,,,,,00/00/0000
0000735072,I,KEY,204,EINKBELEG,4500000228,2044500000228,EKKO,1,,,,,00/00/0000
0000735077,I,KEY,204,EINKBELEG,4500000229,2044500000229,EKKO,1,,,,,00/00/0000
0000735082,I,KEY,204,EINKBELEG,4500000230,2044500000230,EKKO,1,,,,,00/00/0000
0000735087,I,KEY,204,EINKBELEG,4500000231,2044500000231,EKKO,1,,,,,00/00/0000
0000735092,I,KEY,204,EINKBELEG,4500000232,2044500000232,EKKO,1,,,,,00/00/0000
0000735097,I,KEY,204,EINKBELEG,4500000233,2044500000233,EKKO,1,,,,,00/00/0000
0000735102,I,KEY,204,EINKBELEG,4500000234,2044500000234,EKKO,1,,,,,00/00/0000
0000735107,I,KEY,204,EINKBELEG,4500000235,2044500000235,EKKO,1,,,,,00/00/0000
0000735114,I,KEY,204,EINKBELEG,4500000236,2044500000236,EKKO,1,,,,,00/00/0000
0000735119,I,KEY,204,EINKBELEG,4500000237,2044500000237,EKKO,1,,,,,00/00/0000
0000735126,I,KEY,204,EINKBELEG,4500000238,2044500000238,EKKO,1,,,,,00/00/0000
0000735131,I,KEY,204,EINKBELEG,4500000239,2044500000239,EKKO,1,,,,,00/00/0000
0000735136,I,KEY,204,EINKBELEG,4500000240,2044500000240,EKKO,1,,,,,00/00/0000
0000735141,I,KEY,204,EINKBELEG,4500000241,2044500000241,EKKO,1,,,,,00/00/0000
0000735146,I,KEY,204,EINKBELEG,4500000242,2044500000242,EKKO,1,,,,,00/00/0000
0000735151,I,KEY,204,EINKBELEG,4500000243,2044500000243,EKKO,1,,,,,00/00/0000
0000735156,I,KEY,204,EINKBELEG,4500000244,2044500000244,EKKO,1,,,,,00/00/0000
0000735161,I,KEY,204,EINKBELEG,4500000245,2044500000245,EKKO,1,,,,,00/00/0000
0000735166,I,KEY,204,EINKBELEG,4500000246,2044500000246,EKKO,1,,,,,00/00/0000
0000735171,I,KEY,204,EINKBELEG,4500000247,2044500000247,EKKO,1,,,,,00/00/0000
0000735176,I,KEY,204,EINKBELEG,4500000248,2044500000248,EKKO,1,,,,,00/00/0000
0000735181,I,KEY,204,EINKBELEG,4500000249,2044500000249,EKKO,1,,,,,00/00/0000
0000735186,I,KEY,204,EINKBELEG,4500000250,2044500000250,EKKO,1,,,,,00/00/0000
0000735191,I,KEY,204,EINKBELEG,4500000251,2044500000251,EKKO,1,,,,,00/00/0000
0000735196,I,KEY,204,EINKBELEG,4500000252,2044500000252,EKKO,1,,,,,00/00/0000
0000735201,I,KEY,204,EINKBELEG,4500000253,2044500000253,EKKO,1,,,,,00/00/0000
0000735206,I,KEY,204,EINKBELEG,4500000254,2044500000254,EKKO,1,,,,,00/00/0000
0000735211,I,KEY,204,EINKBELEG,4500000255,2044500000255,EKKO,1,,,,,00/00/0000
0000735216,I,KEY,204,EINKBELEG,4500000256,2044500000256,EKKO,1,,,,,00/00/0000
0000735223,I,KEY,204,EINKBELEG,4500000257,2044500000257,EKKO,1,,,,,00/00/0000
0000735228,I,KEY,204,EINKBELEG,4500000258,2044500000258,EKKO,1,,,,,00/00/0000
0000735233,I,KEY,204,EINKBELEG,4500000259,2044500000259,EKKO,1,,,,,00/00/0000
0000735238,I,KEY,204,EINKBELEG,4500000260,2044500000260,EKKO,1,,,,,00/00/0000
0000735243,I,KEY,204,EINKBELEG,4500000261,2044500000261,EKKO,1,,,,,00/00/0000
0000735248,I,KEY,204,EINKBELEG,4500000262,2044500000262,EKKO,1,,,,,00/00/0000
0000735255,I,KEY,204,EINKBELEG,4500000263,2044500000263,EKKO,1,,,,,00/00/0000
0000735260,I,KEY,204,EINKBELEG,4500000264,2044500000264,EKKO,1,,,,,00/00/0000
0000735265,I,KEY,204,EINKBELEG,4500000265,2044500000265,EKKO,1,,,,,00/00/0000
0000735272,I,KEY,204,EINKBELEG,4500000266,2044500000266,EKKO,1,,,,,00/00/0000
0000735277,I,KEY,204,EINKBELEG,4500000267,2044500000267,EKKO,1,,,,,00/00/0000
