ADRNR,AFNAM,ARSNR,ARSPS,BADAT,BANFN,BATOL,BEDAT,BNFPO,BSART,BSMNG,BSTYP,BUMNG,BVDAT,BVDRK,CUOBJ,DAT01,DISPO,EBELN,EBELP,EKGRP,EKORG,ERDAT,ERNAM,ESTKZ,FRGDT,KTPNR,LFDAT,LIMIT_CONSUMPTION_VALUE,LPEIN,MANDT,MATKL,MATNR,MEINS,MENGE,MNG02,PACKNO,PEINH,PREIS,PSTYP,QUPOS,REPOS,RSNUM,STATU,TXZ01,WEBAZ,WEPOS,WERKS
0000130046,00000869,0000000000,0000,06/01/2026,0010000323,0,06/01/2026,00010,NB,61.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000285,00010,N00,US00,06/01/2026,LEARN-800,S,06/11/2026,00000,06/17/2026,0.00,1,204,UTIL,CHLK1800,EA,61.000,0.000,0000000000,1,34.22,0,000,X,0000000000,B,Kettenschloss 800,0,X,MI00
0000130048,00000869,0000000000,0000,06/01/2026,0010000324,0,06/01/2026,00010,NB,130.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000286,00010,N00,US00,06/01/2026,LEARN-800,S,06/16/2026,00000,06/17/2026,0.00,1,204,UTIL,SHRT1800,EA,130.000,0.000,0000000000,1,13.96,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130050,00000869,0000000000,0000,06/01/2026,0010000325,0,06/01/2026,00010,NB,176.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000287,00010,N00,US00,06/01/2026,LEARN-800,S,06/16/2026,00000,06/17/2026,0.00,1,204,UTIL,RKIT1800,EA,176.000,0.000,0000000000,1,15.27,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130052,00000869,0000000000,0000,06/01/2026,0010000326,0,06/01/2026,00010,NB,225.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000288,00010,N00,US00,06/01/2026,LEARN-800,S,06/16/2026,00000,06/17/2026,0.00,1,204,UTIL,BOTL1800,EA,225.000,0.000,0000000000,1,11.03,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130054,00000869,0000000000,0000,06/01/2026,0010000327,0,06/01/2026,00010,NB,64.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000289,00010,N00,US00,06/01/2026,LEARN-800,S,06/16/2026,00000,06/22/2026,0.00,1,204,UTIL,CHLK1800,EA,64.000,0.000,0000000000,1,33.61,0,000,X,0000000000,B,Kettenschloss 800,0,X,MI00
0000130056,00000869,0000000000,0000,06/01/2026,0010000328,0,06/01/2026,00010,NB,19.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000290,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,EPAD1800,EA,19.000,0.000,0000000000,1,40.55,0,000,X,0000000000,B,Ellenbogenschoner,0,X,MI00
0000130058,00000869,0000000000,0000,06/01/2026,0010000329,0,06/01/2026,00010,NB,215.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000291,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,BOTL1800,EA,215.000,0.000,0000000000,1,11.16,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130060,00000869,0000000000,0000,06/01/2026,0010000330,0,06/01/2026,00010,NB,205.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000292,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,BOTL1800,EA,205.000,0.000,0000000000,1,10.71,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130062,00000869,0000000000,0000,06/01/2026,0010000331,0,06/01/2026,00010,NB,21.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000293,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,KPAD1800,EA,21.000,0.000,0000000000,1,40.35,0,000,X,0000000000,B,Knieschoner,0,X,MI00
0000130064,00000869,0000000000,0000,06/01/2026,0010000332,0,06/01/2026,00010,NB,215.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000294,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,CAGE1800,EA,215.000,0.000,0000000000,1,10.28,0,000,X,0000000000,B,Wasserflaschenhalter,0,X,MI00
0000130066,00000869,0000000000,0000,06/01/2026,0010000333,0,06/01/2026,00010,NB,220.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000295,00010,N00,US00,06/01/2026,LEARN-800,S,06/18/2026,00000,06/19/2026,0.00,1,204,UTIL,BOTL1800,EA,220.000,0.000,0000000000,1,11.18,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130068,00000869,0000000000,0000,06/01/2026,0010000334,0,06/01/2026,00010,NB,195.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000296,00010,N00,US00,06/01/2026,LEARN-800,S,06/18/2026,00000,06/19/2026,0.00,1,204,UTIL,BOTL1800,EA,195.000,0.000,0000000000,1,11.14,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130070,00000869,0000000000,0000,06/01/2026,0010000335,0,06/01/2026,00010,NB,95.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000297,00010,N00,US00,06/01/2026,LEARN-800,S,06/13/2026,00000,06/19/2026,0.00,1,204,UTIL,CHSP1800,EA,95.000,0.000,0000000000,1,27.47,0,000,X,0000000000,B,Kettenschloss Security Pro 800,0,X,MI00
0000130072,00000869,0000000000,0000,06/01/2026,0010000336,0,06/01/2026,00010,NB,205.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000298,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,SHRT1800,EA,205.000,0.000,0000000000,1,14.42,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130074,00000869,0000000000,0000,06/01/2026,0010000337,0,06/01/2026,00010,NB,108.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000299,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,KPAD1800,EA,108.000,0.000,0000000000,1,40.03,0,000,X,0000000000,B,Knieschoner,0,X,MI00
0000130076,00000869,0000000000,0000,06/01/2026,0010000338,0,06/01/2026,00010,NB,150.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000300,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,SHRT1800,EA,150.000,0.000,0000000000,1,14.17,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130078,00000869,0000000000,0000,06/01/2026,0010000339,0,06/01/2026,00010,NB,31.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000301,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,FAID1800,EA,31.000,0.000,0000000000,1,24.79,0,000,X,0000000000,B,Verbandkasten,0,X,MI00
0000130080,00000869,0000000000,0000,06/01/2026,0010000340,0,06/01/2026,00010,NB,33.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000302,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,RHMT1800,EA,33.000,0.000,0000000000,1,26.36,0,000,X,0000000000,B,Straßenhelm,0,X,MI00
0000130081,00000869,0000000000,0000,06/01/2026,0010000341,0,06/01/2026,00010,NB,30.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000303,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,RHMT1800,EA,30.000,0.000,0000000000,1,25.62,0,000,X,0000000000,B,Straßenhelm,0,X,MI00
0000130084,00000869,0000000000,0000,06/01/2026,0010000342,0,06/01/2026,00010,NB,28.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000304,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,RHMT1800,EA,28.000,0.000,0000000000,1,26.34,0,000,X,0000000000,B,Straßenhelm,0,X,MI00
0000130086,00000869,0000000000,0000,06/01/2026,0010000343,0,06/01/2026,00010,NB,20.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000305,00010,N00,US00,06/01/2026,LEARN-800,S,06/20/2026,00000,06/21/2026,0.00,1,204,SFTY,KPAD1800,EA,20.000,0.000,0000000000,1,40.13,0,000,X,0000000000,B,Knieschoner,0,X,MI00
0000130088,00000869,0000000000,0000,06/01/2026,0010000344,0,06/01/2026,00010,NB,147.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000306,00010,N00,US00,06/01/2026,LEARN-800,S,06/15/2026,00000,06/21/2026,0.00,1,204,UTIL,CHSP1800,EA,147.000,0.000,0000000000,1,27.71,0,000,X,0000000000,B,Kettenschloss Security Pro 800,0,X,MI00
0000130090,00000869,0000000000,0000,06/01/2026,0010000345,0,06/01/2026,00010,NB,88.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000307,00010,N00,US00,06/01/2026,LEARN-800,S,06/15/2026,00000,06/21/2026,0.00,1,204,UTIL,CHSP1800,EA,88.000,0.000,0000000000,1,28.76,0,000,X,0000000000,B,Kettenschloss Security Pro 800,0,X,MI00
0000130092,00000869,0000000000,0000,06/01/2026,0010000346,0,06/01/2026,00010,NB,125.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000308,00010,N00,US00,06/01/2026,LEARN-800,S,06/20/2026,00000,06/21/2026,0.00,1,204,UTIL,RKIT1800,EA,125.000,0.000,0000000000,1,15.28,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130094,00000869,0000000000,0000,06/01/2026,0010000347,0,06/01/2026,00010,NB,108.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000309,00010,N00,US00,06/01/2026,LEARN-800,S,06/15/2026,00000,06/21/2026,0.00,1,204,UTIL,CHSP1800,EA,108.000,0.000,0000000000,1,27.46,0,000,X,0000000000,B,Kettenschloss Security Pro 800,0,X,MI00
0000130096,00000869,0000000000,0000,06/01/2026,0010000348,0,06/01/2026,00010,NB,22.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000310,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,EPAD1800,EA,22.000,0.000,0000000000,1,40.16,0,000,X,0000000000,B,Ellenbogenschoner,0,X,MI00
0000130098,00000869,0000000000,0000,06/01/2026,0010000349,0,06/01/2026,00010,NB,31.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000311,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,SFTY,OHMT1800,EA,31.000,0.000,0000000000,1,26.39,0,000,X,0000000000,B,Geländehelm,0,X,MI00
0000130100,00000869,0000000000,0000,06/01/2026,0010000350,0,06/01/2026,00010,NB,100.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000312,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,SHRT1800,EA,100.000,0.000,0000000000,1,13.94,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130102,00000869,0000000000,0000,06/01/2026,0010000351,0,06/01/2026,00010,NB,155.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000313,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,SHRT1800,EA,155.000,0.000,0000000000,1,13.74,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130104,00000869,0000000000,0000,06/01/2026,0010000352,0,06/01/2026,00010,NB,235.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000314,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,BOTL1800,EA,235.000,0.000,0000000000,1,11.19,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130106,00000869,0000000000,0000,06/01/2026,0010000353,0,06/01/2026,00010,NB,65.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000315,00010,N00,US00,06/01/2026,LEARN-800,S,06/18/2026,00000,06/19/2026,0.00,1,204,UTIL,FAID1800,EA,65.000,0.000,0000000000,1,24.35,0,000,X,0000000000,B,Verbandkasten,0,X,MI00
0000130108,00000869,0000000000,0000,06/01/2026,0010000354,0,06/01/2026,00010,NB,101.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000316,00010,N00,US00,06/01/2026,LEARN-800,S,06/18/2026,00000,06/19/2026,0.00,1,204,UTIL,RKIT1800,EA,101.000,0.000,0000000000,1,15.43,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130110,00000869,0000000000,0000,06/01/2026,0010000355,0,06/01/2026,00010,NB,57.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000317,00010,N00,US00,06/01/2026,LEARN-800,S,06/20/2026,00000,06/26/2026,0.00,1,204,UTIL,CHLK1800,EA,57.000,0.000,0000000000,1,34.27,0,000,X,0000000000,B,Kettenschloss 800,0,X,MI00
0000130112,00000869,0000000000,0000,06/01/2026,0010000356,0,06/01/2026,00010,NB,110.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000318,00010,N00,US00,06/01/2026,LEARN-800,S,06/25/2026,00000,06/26/2026,0.00,1,204,UTIL,SHRT1800,EA,110.000,0.000,0000000000,1,13.77,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130114,00000869,0000000000,0000,06/01/2026,0010000357,0,06/01/2026,00010,NB,31.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000319,00010,N00,US00,06/01/2026,LEARN-800,S,06/25/2026,00000,06/26/2026,0.00,1,204,SFTY,OHMT1800,EA,31.000,0.000,0000000000,1,25.97,0,000,X,0000000000,B,Geländehelm,0,X,MI00
0000130116,00000869,0000000000,0000,06/01/2026,0010000358,0,06/01/2026,00010,NB,84.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000320,00010,N00,US00,06/01/2026,LEARN-800,S,06/25/2026,00000,06/26/2026,0.00,1,204,UTIL,RKIT1800,EA,84.000,0.000,0000000000,1,14.61,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130118,00000869,0000000000,0000,06/01/2026,0010000359,0,06/01/2026,00010,NB,117.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000321,00010,N00,US00,06/01/2026,LEARN-800,S,06/20/2026,00000,06/26/2026,0.00,1,204,UTIL,CHSP1800,EA,117.000,0.000,0000000000,1,27.68,0,000,X,0000000000,B,Kettenschloss Security Pro 800,0,X,MI00
0000130120,00000869,0000000000,0000,06/01/2026,0010000360,0,06/01/2026,00010,NB,28.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000322,00010,N00,US00,06/01/2026,LEARN-800,S,06/25/2026,00000,06/26/2026,0.00,1,204,SFTY,OHMT1800,EA,28.000,0.000,0000000000,1,25.90,0,000,X,0000000000,B,Geländehelm,0,X,MI00
0000130122,00000869,0000000000,0000,06/01/2026,0010000361,0,06/01/2026,00010,NB,18.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000323,00010,N00,US00,06/01/2026,LEARN-800,S,06/25/2026,00000,06/26/2026,0.00,1,204,SFTY,EPAD1800,EA,18.000,0.000,0000000000,1,39.05,0,000,X,0000000000,B,Ellenbogenschoner,0,X,MI00
0000130124,00000869,0000000000,0000,06/01/2026,0010000362,0,06/01/2026,00010,NB,19.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000324,00010,N00,US00,06/01/2026,LEARN-800,S,06/25/2026,00000,06/26/2026,0.00,1,204,UTIL,PUMP1800,EA,19.000,0.000,0000000000,1,23.25,0,000,X,0000000000,B,Luftpumpe,0,X,MI00
0000130126,00000869,0000000000,0000,06/01/2026,0010000363,0,06/01/2026,00010,NB,82.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000325,00010,N00,US00,06/01/2026,LEARN-800,S,06/22/2026,00000,06/23/2026,0.00,1,204,UTIL,RKIT1800,EA,82.000,0.000,0000000000,1,15.18,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130128,00000869,0000000000,0000,06/01/2026,0010000364,0,06/01/2026,00010,NB,87.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000326,00010,N00,US00,06/01/2026,LEARN-800,S,06/22/2026,00000,06/23/2026,0.00,1,204,UTIL,RKIT1800,EA,87.000,0.000,0000000000,1,15.50,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130130,00000869,0000000000,0000,06/01/2026,0010000365,0,06/01/2026,00010,NB,245.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000327,00010,N00,US00,06/01/2026,LEARN-800,S,06/22/2026,00000,06/23/2026,0.00,1,204,UTIL,BOTL1800,EA,245.000,0.000,0000000000,1,11.16,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130132,00000869,0000000000,0000,06/01/2026,0010000366,0,06/01/2026,00010,NB,48.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000328,00010,N00,US00,06/01/2026,LEARN-800,S,06/22/2026,00000,06/23/2026,0.00,1,204,UTIL,FAID1800,EA,48.000,0.000,0000000000,1,25.77,0,000,X,0000000000,B,Verbandkasten,0,X,MI00
0000130134,00000869,0000000000,0000,06/01/2026,0010000367,0,06/01/2026,00010,NB,165.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000329,00010,N00,US00,06/01/2026,LEARN-800,S,06/22/2026,00000,06/23/2026,0.00,1,204,UTIL,CAGE1800,EA,165.000,0.000,0000000000,1,10.37,0,000,X,0000000000,B,Wasserflaschenhalter,0,X,MI00
0000130136,00000869,0000000000,0000,06/01/2026,0010000368,0,06/01/2026,00010,NB,120.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000330,00010,N00,US00,06/01/2026,LEARN-800,S,06/22/2026,00000,06/23/2026,0.00,1,204,UTIL,SHRT1800,EA,120.000,0.000,0000000000,1,13.68,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130138,00000869,0000000000,0000,06/01/2026,0010000369,0,06/01/2026,00010,NB,22.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000331,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,SFTY,EPAD1800,EA,22.000,0.000,0000000000,1,39.49,0,000,X,0000000000,B,Ellenbogenschoner,0,X,MI00
0000130140,00000869,0000000000,0000,06/01/2026,0010000370,0,06/01/2026,00010,NB,78.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000332,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,UTIL,RKIT1800,EA,78.000,0.000,0000000000,1,14.99,0,000,X,0000000000,B,Flickzeug,0,X,MI00
0000130142,00000869,0000000000,0000,06/01/2026,0010000371,0,06/01/2026,00010,NB,34.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000333,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,SFTY,RHMT1800,EA,34.000,0.000,0000000000,1,26.02,0,000,X,0000000000,B,Straßenhelm,0,X,MI00
0000130144,00000869,0000000000,0000,06/01/2026,0010000372,0,06/01/2026,00010,NB,130.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000334,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,UTIL,SHRT1800,EA,130.000,0.000,0000000000,1,13.74,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130146,00000869,0000000000,0000,06/01/2026,0010000373,0,06/01/2026,00010,NB,31.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000335,00010,N00,US00,06/01/2026,LEARN-800,S,06/24/2026,00000,06/25/2026,0.00,1,204,SFTY,OHMT1800,EA,31.000,0.000,0000000000,1,26.27,0,000,X,0000000000,B,Geländehelm,0,X,MI00
0000130147,00000869,0000000000,0000,06/01/2026,0010000374,0,06/01/2026,00010,NB,28.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000336,00010,N00,US00,06/01/2026,LEARN-800,S,06/24/2026,00000,06/25/2026,0.00,1,204,UTIL,PUMP1800,EA,28.000,0.000,0000000000,1,22.70,0,000,X,0000000000,B,Luftpumpe,0,X,MI00
0000130150,00000869,0000000000,0000,06/01/2026,0010000375,0,06/01/2026,00010,NB,20.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000337,00010,N00,US00,06/01/2026,LEARN-800,S,06/24/2026,00000,06/25/2026,0.00,1,204,SFTY,EPAD1800,EA,20.000,0.000,0000000000,1,40.89,0,000,X,0000000000,B,Ellenbogenschoner,0,X,MI00
0000130151,00000869,0000000000,0000,06/01/2026,0010000376,0,06/01/2026,00010,NB,21.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000338,00010,N00,US00,06/01/2026,LEARN-800,S,06/24/2026,00000,06/25/2026,0.00,1,204,SFTY,EPAD1800,EA,21.000,0.000,0000000000,1,39.86,0,000,X,0000000000,B,Ellenbogenschoner,0,X,MI00
0000130154,00000869,0000000000,0000,06/01/2026,0010000377,0,06/01/2026,00010,NB,29.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000339,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,SFTY,RHMT1800,EA,29.000,0.000,0000000000,1,25.62,0,000,X,0000000000,B,Straßenhelm,0,X,MI00
0000130156,00000869,0000000000,0000,06/01/2026,0010000378,0,06/01/2026,00010,NB,19.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000340,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,SFTY,KPAD1800,EA,19.000,0.000,0000000000,1,40.14,0,000,X,0000000000,B,Knieschoner,0,X,MI00
0000130158,00000869,0000000000,0000,06/01/2026,0010000379,0,06/01/2026,00010,NB,29.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000341,00010,N00,US00,06/01/2026,LEARN-800,S,06/27/2026,00000,06/28/2026,0.00,1,204,SFTY,OHMT1800,EA,29.000,0.000,0000000000,1,26.84,0,000,X,0000000000,B,Geländehelm,0,X,MI00
