AUGBL,AUGCP,AUGDT,BDIF2,BDIFF,BELNR,BSCHL,BUKRS,BUZEI,DMBTR,FCSL,FDTAG,FDWBT,FKONT,FWBAS,FWZUZ,GBETR,GJAHR,HWBAS,HWZUZ,KOART,KOKRS,KURSR,KZBTR,LWBTR,LWSTS,MANDT,MWSTS,PSWBT,PSWSL,QSSHB,RFCCUR,SHKZG,TXBFW,TXBHW,TXDAT_FROM,TXGRP,VALUT,VORGN,WMWST,WRBTR,ZUONR
,00/00/0000,00/00/0000,0.00,0.00,1500000188,50,US00,001,"1,582.75","1,582.75",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,582.75",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,582.75",20260601
1500000188,06/01/2026,06/01/2026,0.00,0.00,1500000188,25,US00,002,"1,582.75","1,582.75",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,582.75",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,582.75",
,00/00/0000,00/00/0000,0.00,0.00,1500000189,50,US00,001,"2,459.60","2,459.60",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,459.60",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,459.60",20260601
1500000189,06/01/2026,06/01/2026,0.00,0.00,1500000189,25,US00,002,"2,459.60","2,459.60",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,459.60",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,459.60",
,00/00/0000,00/00/0000,0.00,0.00,1500000190,50,US00,001,"2,734.20","2,734.20",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,734.20",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,734.20",20260601
1500000190,06/01/2026,06/01/2026,0.00,0.00,1500000190,25,US00,002,"2,734.20","2,734.20",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,734.20",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,734.20",
,00/00/0000,00/00/0000,0.00,0.00,1500000191,50,US00,001,768.49,768.49,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,768.49,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,768.49,20260601
1500000191,06/01/2026,06/01/2026,0.00,0.00,1500000191,25,US00,002,768.49,768.49,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,768.49,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,768.49,
,00/00/0000,00/00/0000,0.00,0.00,1500000192,50,US00,001,"4,073.37","4,073.37",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"4,073.37",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"4,073.37",20260601
1500000192,06/01/2026,06/01/2026,0.00,0.00,1500000192,25,US00,002,"4,073.37","4,073.37",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"4,073.37",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"4,073.37",
,00/00/0000,00/00/0000,0.00,0.00,1500000193,50,US00,001,"2,399.40","2,399.40",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,399.40",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,399.40",20260601
1500000193,06/01/2026,06/01/2026,0.00,0.00,1500000193,25,US00,002,"2,399.40","2,399.40",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,399.40",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,399.40",
,00/00/0000,00/00/0000,0.00,0.00,1500000194,50,US00,001,883.52,883.52,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,883.52,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,883.52,20260601
1500000194,06/01/2026,06/01/2026,0.00,0.00,1500000194,25,US00,002,883.52,883.52,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,883.52,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,883.52,
,00/00/0000,00/00/0000,0.00,0.00,1500000195,50,US00,001,"2,129.70","2,129.70",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,129.70",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,129.70",20260601
1500000195,06/01/2026,06/01/2026,0.00,0.00,1500000195,25,US00,002,"2,129.70","2,129.70",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,129.70",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,129.70",
,00/00/0000,00/00/0000,0.00,0.00,1500000196,50,US00,001,"4,323.24","4,323.24",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"4,323.24",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"4,323.24",20260601
1500000196,06/01/2026,06/01/2026,0.00,0.00,1500000196,25,US00,002,"4,323.24","4,323.24",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"4,323.24",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"4,323.24",
,00/00/0000,00/00/0000,0.00,0.00,1500000197,50,US00,001,"2,530.88","2,530.88",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,530.88",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,530.88",20260601
1500000197,06/01/2026,06/01/2026,0.00,0.00,1500000197,25,US00,002,"2,530.88","2,530.88",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,530.88",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,530.88",
,00/00/0000,00/00/0000,0.00,0.00,1500000198,50,US00,001,"2,629.65","2,629.65",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,629.65",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,629.65",20260601
1500000198,06/01/2026,06/01/2026,0.00,0.00,1500000198,25,US00,002,"2,629.65","2,629.65",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,629.65",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,629.65",
,00/00/0000,00/00/0000,0.00,0.00,1500000199,50,US00,001,"1,641.60","1,641.60",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,641.60",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,641.60",20260601
1500000199,06/01/2026,06/01/2026,0.00,0.00,1500000199,25,US00,002,"1,641.60","1,641.60",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,641.60",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,641.60",
,00/00/0000,00/00/0000,0.00,0.00,1500000200,50,US00,001,818.09,818.09,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,818.09,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,818.09,20260601
1500000200,06/01/2026,06/01/2026,0.00,0.00,1500000200,25,US00,002,818.09,818.09,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,818.09,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,818.09,
,00/00/0000,00/00/0000,0.00,0.00,1500000201,50,US00,001,768.60,768.60,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,768.60,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,768.60,20260601
1500000201,06/01/2026,06/01/2026,0.00,0.00,1500000201,25,US00,002,768.60,768.60,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,768.60,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,768.60,
,00/00/0000,00/00/0000,0.00,0.00,1500000202,50,US00,001,770.45,770.45,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,770.45,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,770.45,20260601
1500000202,06/01/2026,06/01/2026,0.00,0.00,1500000202,25,US00,002,770.45,770.45,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,770.45,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,770.45,
,00/00/0000,00/00/0000,0.00,0.00,1500000203,50,US00,001,"1,910.00","1,910.00",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,910.00",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,910.00",20260601
1500000203,06/01/2026,06/01/2026,0.00,0.00,1500000203,25,US00,002,"1,910.00","1,910.00",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,910.00",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,910.00",
,00/00/0000,00/00/0000,0.00,0.00,1500000204,50,US00,001,"1,926.03","1,926.03",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,926.03",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,926.03",20260601
1500000204,06/01/2026,06/01/2026,0.00,0.00,1500000204,25,US00,002,"1,926.03","1,926.03",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,926.03",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,926.03",
,00/00/0000,00/00/0000,0.00,0.00,1500000205,50,US00,001,"2,425.20","2,425.20",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,425.20",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,425.20",20260601
1500000205,06/01/2026,06/01/2026,0.00,0.00,1500000205,25,US00,002,"2,425.20","2,425.20",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,425.20",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,425.20",
,00/00/0000,00/00/0000,0.00,0.00,1500000206,50,US00,001,847.35,847.35,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,847.35,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,847.35,20260601
1500000206,06/01/2026,06/01/2026,0.00,0.00,1500000206,25,US00,002,847.35,847.35,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,847.35,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,847.35,
,00/00/0000,00/00/0000,0.00,0.00,1500000207,50,US00,001,"1,394.00","1,394.00",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,394.00",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,394.00",20260601
