BELNR,BKLAS,BNKAN,BPMNG,BPRBM,BPRME,BSTME,BUKRS,BUSTW,BUZEI,BWKEY,EBELN,EBELP,ERP_CONTRACT_ITM,EXKBE,GJAHR,INTROW,INVREL,LBKUM,LFGJA,LFPOS,MANDT,MATBF,MATNR,MEINS,MENGE,MWSKZ,PACKNO,PSTYP,RBMNG,RBWWR,RETAMT_FC,RETDUEDT,RETPC,SALK3,SHKZG,SPGRT,SRM_CONTRACT_ITM,SRVMAPKEY,STOCK_POSTING,STOCK_POSTING_PP,STOCK_POSTING_PY,STUNR,TXJCD,VMSAL,VRKUM,WERKS,WRBTR,ZAEHK,ZEKKN
5105600312,3100,0.00,57.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000281,00010,00000,X,2026,0000000000,000000,"1,330.000",0000,0000,204,CHLK1800,CHLK1800,EA,57.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"45,357.28",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,926.03",000,00
5105600313,3100,0.00,19.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000290,00010,00000,X,2026,0000000000,000000,707.800,0000,0000,204,EPAD1800,EPAD1800,EA,19.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"28,779.71",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,770.45,000,00
5105600314,3100,0.00,64.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000289,00010,00000,X,2026,0000000000,000000,"1,330.000",0000,0000,204,CHLK1800,CHLK1800,EA,64.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"45,357.28",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,151.04",000,00
5105600315,3100,0.00,195.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000296,00010,00000,X,2026,0000000000,000000,"6,330.200",0000,0000,204,BOTL1800,BOTL1800,EA,195.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"69,505.11",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,172.30",000,00
5105600316,3100,0.00,220.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000295,00010,00000,X,2026,0000000000,000000,"6,330.200",0000,0000,204,BOTL1800,BOTL1800,EA,220.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"69,505.11",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,459.60",000,00
5105600317,3100,0.00,95.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000297,00010,00000,X,2026,0000000000,000000,"2,972.600",0000,0000,204,CHSP1800,CHSP1800,EA,95.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"82,204.58",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,609.65",000,00
5105600318,3100,0.00,205.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000298,00010,00000,X,2026,0000000000,000000,"3,355.200",0000,0000,204,SHRT1800,SHRT1800,EA,205.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"46,922.15",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,956.10",000,00
5105600319,3100,0.00,215.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000282,00010,00000,X,2026,0000000000,000000,"6,535.200",0000,0000,204,BOTL1800,BOTL1800,EA,215.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"71,700.66",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,425.20",000,00
5105600320,3100,0.00,215.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000291,00010,00000,X,2026,0000000000,000000,"6,535.200",0000,0000,204,BOTL1800,BOTL1800,EA,215.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"71,700.66",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,399.40",000,00
5105600321,3100,0.00,215.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000294,00010,00000,X,2026,0000000000,000000,"2,883.000",0000,0000,204,CAGE1800,CAGE1800,EA,215.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"28,084.99",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,210.20",000,00
5105600322,3100,0.00,30.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000303,00010,00000,X,2026,0000000000,000000,"1,162.800",0000,0000,204,RHMT1800,RHMT1800,EA,30.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"29,896.99",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,768.60,000,00
5105600323,3100,0.00,20.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000305,00010,00000,X,2026,0000000000,000000,"1,070.400",0000,0000,204,KPAD1800,KPAD1800,EA,20.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"42,874.78",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,802.60,000,00
5105600324,3100,0.00,108.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000299,00010,00000,X,2026,0000000000,000000,"1,070.400",0000,0000,204,KPAD1800,KPAD1800,EA,108.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"42,874.78",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"4,323.24",000,00
5105600325,3100,0.00,31.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000301,00010,00000,X,2026,0000000000,000000,983.000,0000,0000,204,FAID1800,FAID1800,EA,31.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"24,124.50",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,768.49,000,00
5105600326,3100,0.00,21.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000293,00010,00000,X,2026,0000000000,000000,"1,070.400",0000,0000,204,KPAD1800,KPAD1800,EA,21.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"42,874.78",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,847.35,000,00
5105600327,3100,0.00,147.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000306,00010,00000,X,2026,0000000000,000000,"3,207.600",0000,0000,204,CHSP1800,CHSP1800,EA,147.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"88,808.83",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"4,073.37",000,00
5105600328,3100,0.00,22.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000310,00010,00000,X,2026,0000000000,000000,729.800,0000,0000,204,EPAD1800,EPAD1800,EA,22.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"29,663.23",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,883.52,000,00
5105600329,3100,0.00,108.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000309,00010,00000,X,2026,0000000000,000000,"3,315.600",0000,0000,204,CHSP1800,CHSP1800,EA,108.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"91,774.51",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,965.68",000,00
5105600330,3100,0.00,205.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000292,00010,00000,X,2026,0000000000,000000,"6,535.200",0000,0000,204,BOTL1800,BOTL1800,EA,205.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"71,700.66",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,195.55",000,00
5105600331,3100,0.00,65.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000315,00010,00000,X,2026,0000000000,000000,"1,048.000",0000,0000,204,FAID1800,FAID1800,EA,65.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"25,707.25",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,582.75",000,00
5105600332,3100,0.00,101.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000316,00010,00000,X,2026,0000000000,000000,"3,465.000",0000,0000,204,RKIT1800,RKIT1800,EA,101.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"49,077.10",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,558.43",000,00
5105600333,3100,0.00,100.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000312,00010,00000,X,2026,0000000000,000000,"3,605.200",0000,0000,204,SHRT1800,SHRT1800,EA,100.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"50,441.65",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,394.00",000,00
5105600334,3100,0.00,235.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000314,00010,00000,X,2026,0000000000,000000,"6,770.200",0000,0000,204,BOTL1800,BOTL1800,EA,235.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"74,330.31",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,629.65",000,00
5105600335,3100,0.00,155.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000313,00010,00000,X,2026,0000000000,000000,"3,760.200",0000,0000,204,SHRT1800,SHRT1800,EA,155.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"52,571.35",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,129.70",000,00
5105600336,3100,0.00,28.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000304,00010,00000,X,2026,0000000000,000000,"1,185.200",0000,0000,204,RHMT1800,RHMT1800,EA,28.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"30,490.44",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,737.52,000,00
5105600337,3100,0.00,48.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000328,00010,00000,X,2026,0000000000,000000,"1,096.000",0000,0000,204,FAID1800,FAID1800,EA,48.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"26,944.21",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,236.96",000,00
5105600338,3100,0.00,150.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000300,00010,00000,X,2026,0000000000,000000,"3,850.200",0000,0000,204,SHRT1800,SHRT1800,EA,150.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"53,793.52",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,125.50",000,00
5105600339,3100,0.00,120.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000330,00010,00000,X,2026,0000000000,000000,"3,850.200",0000,0000,204,SHRT1800,SHRT1800,EA,120.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"53,793.52",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,641.60",000,00
5105600340,3100,0.00,88.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000307,00010,00000,X,2026,0000000000,000000,"3,333.200",0000,0000,204,CHSP1800,CHSP1800,EA,88.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"92,261.67",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,530.88",000,00
5105600341,3100,0.00,245.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000327,00010,00000,X,2026,0000000000,000000,"7,015.200",0000,0000,204,BOTL1800,BOTL1800,EA,245.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"77,064.51",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,734.20",000,00
5105600342,3100,0.00,31.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000311,00010,00000,X,2026,0000000000,000000,688.400,0000,0000,204,OHMT1800,OHMT1800,EA,31.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"17,732.08",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,818.09,000,00
5105600343,3100,0.00,125.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000308,00010,00000,X,2026,0000000000,000000,"3,692.800",0000,0000,204,RKIT1800,RKIT1800,EA,125.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"52,505.03",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,910.00",000,00
5105600344,3100,0.00,165.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000329,00010,00000,X,2026,0000000000,000000,"3,048.000",0000,0000,204,CAGE1800,CAGE1800,EA,165.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"29,796.04",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,711.05",000,00
5105600345,3100,0.00,87.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000326,00010,00000,X,2026,0000000000,000000,"3,692.800",0000,0000,204,RKIT1800,RKIT1800,EA,87.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"52,505.03",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,348.50",000,00
5105600346,3100,0.00,82.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000325,00010,00000,X,2026,0000000000,000000,"3,692.800",0000,0000,204,RKIT1800,RKIT1800,EA,82.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"52,505.03",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,244.76",000,00
5105600347,3100,0.00,28.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000336,00010,00000,X,2026,0000000000,000000,819.000,0000,0000,204,PUMP1800,PUMP1800,EA,28.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"16,420.20",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,635.60,000,00
5105600348,3100,0.00,31.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000335,00010,00000,X,2026,0000000000,000000,780.400,0000,0000,204,OHMT1800,OHMT1800,EA,31.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"20,138.42",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,814.37,000,00
5105600349,3100,0.00,31.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000357,00010,00000,X,2026,0000000000,000000,"1,216.200",0000,0000,204,RHMT1800,RHMT1800,EA,31.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"31,328.68",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,838.24,000,00
5105600350,3100,0.00,30.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000355,00010,00000,X,2026,0000000000,000000,780.400,0000,0000,204,OHMT1800,OHMT1800,EA,30.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"20,138.42",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,786.90,000,00
5105600351,3100,0.00,21.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000338,00010,00000,X,2026,0000000000,000000,750.800,0000,0000,204,EPAD1800,EPAD1800,EA,21.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"30,500.29",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,837.06,000,00
5105600352,3100,0.00,20.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000356,00010,00000,X,2026,0000000000,000000,"1,090.400",0000,0000,204,KPAD1800,KPAD1800,EA,20.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"43,666.38",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,791.60,000,00
5105600353,3100,0.00,18.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000323,00010,00000,X,2026,0000000000,000000,768.800,0000,0000,204,EPAD1800,EPAD1800,EA,18.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"31,203.19",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,702.90,000,00
5105600354,3100,0.00,28.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000322,00010,00000,X,2026,0000000000,000000,808.400,0000,0000,204,OHMT1800,OHMT1800,EA,28.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"20,863.62",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,725.20,000,00
5105600355,3100,0.00,110.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000318,00010,00000,X,2026,0000000000,000000,"3,960.200",0000,0000,204,SHRT1800,SHRT1800,EA,110.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"55,308.22",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,514.70",000,00
5105600356,3100,0.00,57.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000317,00010,00000,X,2026,0000000000,000000,"1,387.000",0000,0000,204,CHLK1800,CHLK1800,EA,57.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"47,310.67",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,953.39",000,00
5105600357,3100,0.00,31.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000319,00010,00000,X,2026,0000000000,000000,808.400,0000,0000,204,OHMT1800,OHMT1800,EA,31.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"20,863.62",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,805.07,000,00
5105600358,3100,0.00,117.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000321,00010,00000,X,2026,0000000000,000000,"3,450.200",0000,0000,204,CHSP1800,CHSP1800,EA,117.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"95,500.23",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"3,238.56",000,00
5105600359,3100,0.00,19.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000324,00010,00000,X,2026,0000000000,000000,838.000,0000,0000,204,PUMP1800,PUMP1800,EA,19.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"16,861.95",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,441.75,000,00
5105600360,3100,0.00,84.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000320,00010,00000,X,2026,0000000000,000000,"3,854.800",0000,0000,204,RKIT1800,RKIT1800,EA,84.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"54,901.49",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,227.24",000,00
5105600361,3100,0.00,34.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000333,00010,00000,X,2026,0000000000,000000,"1,279.200",0000,0000,204,RHMT1800,RHMT1800,EA,34.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"32,956.34",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,884.68,000,00
5105600362,3100,0.00,22.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000331,00010,00000,X,2026,0000000000,000000,811.800,0000,0000,204,EPAD1800,EPAD1800,EA,22.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"32,915.54",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,868.78,000,00
5105600363,3100,0.00,78.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000332,00010,00000,X,2026,0000000000,000000,"3,913.800",0000,0000,204,RKIT1800,RKIT1800,EA,78.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"55,798.29",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,169.22",000,00
5105600364,3100,0.00,29.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000339,00010,00000,X,2026,0000000000,000000,"1,279.200",0000,0000,204,RHMT1800,RHMT1800,EA,29.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"32,956.34",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,742.98,000,00
5105600365,3100,0.00,19.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000340,00010,00000,X,2026,0000000000,000000,"1,128.400",0000,0000,204,KPAD1800,KPAD1800,EA,19.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"45,204.24",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,762.66,000,00
5105600366,3100,0.00,61.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000342,00010,00000,X,2026,0000000000,000000,"1,448.000",0000,0000,204,CHLK1800,CHLK1800,EA,61.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"49,405.41",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,094.74",000,00
5105600367,3100,0.00,130.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000334,00010,00000,X,2026,0000000000,000000,"4,090.200",0000,0000,204,SHRT1800,SHRT1800,EA,130.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"57,094.42",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,786.20",000,00
5105600368,3100,0.00,59.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000344,00010,00000,X,2026,0000000000,000000,"3,913.800",0000,0000,204,RKIT1800,RKIT1800,EA,59.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"55,798.29",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,896.80,000,00
5105600369,3100,0.00,21.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000346,00010,00000,X,2026,0000000000,000000,811.800,0000,0000,204,EPAD1800,EPAD1800,EA,21.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"32,915.54",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,843.57,000,00
