BNBTR,BPMNG,BPRME,BUALT,BUKRS,BUZEI,BUZUM,BWART,BWLVS,DMBTR,DMBUM,EBELN,EBELP,ELIKZ,ERFME,ERFMG,GJAHR,GSBER,INSMK,KDEIN,KDPOS,KOKRS,KOSTL,KZBEW,KZSTR,LFBJA,LFPOS,LGORT,LIFNR,LINE_DEPTH,LINE_ID,MAA_URZEI,MANDT,MATNR,MBLNR,MEINS,MENGE,MJAHR,PALAN,PARENT_ID,PARGB,PBAMG,RSNUM,RSPOS,SGTXT,SHKZG,SJAHR,SMBLP,TBNUM,TBPOS,WAERS,WERKS,ZEILE
0.00,205.000,EA,0.00,US00,000,000,101,000,"2,956.10",0.00,4500000298,00010,X,EA,205.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000109800,00,000001,0000,204,SHRT1800,5000000263,EA,205.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,108.000,EA,0.00,US00,000,000,101,000,"4,323.24",0.00,4500000299,00010,X,EA,108.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,KPAD1800,5000000264,EA,108.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,120.000,EA,0.00,US00,000,000,101,000,"1,700.40",0.00,4500000300,00010,,EA,120.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,SHRT1800,5000000265,EA,120.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,30.000,EA,0.00,US00,000,000,101,000,425.10,0.00,4500000300,00010,X,EA,30.000,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000002,0000,204,SHRT1800,5000000265,EA,30.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,31.000,EA,0.00,US00,000,000,101,000,768.49,0.00,4500000301,00010,X,EA,31.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,FAID1800,5000000266,EA,31.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,30.000,EA,0.00,US00,000,000,101,000,768.60,0.00,4500000303,00010,X,EA,30.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,RHMT1800,5000000267,EA,30.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,20.000,EA,0.00,US00,000,000,101,000,802.60,0.00,4500000305,00010,X,EA,20.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,KPAD1800,5000000268,EA,20.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,22.400,EA,0.00,US00,000,000,101,000,590.02,0.00,4500000304,00010,,EA,22.400,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,RHMT1800,5000000269,EA,22.400,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,5.600,EA,0.00,US00,000,000,101,000,147.50,0.00,4500000304,00010,X,EA,5.600,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000002,0000,204,RHMT1800,5000000269,EA,5.600,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,147.000,EA,0.00,US00,000,000,101,000,"4,073.37",0.00,4500000306,00010,X,EA,147.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0001003070,00,000001,0000,204,CHSP1800,5000000270,EA,147.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,100.000,EA,0.00,US00,000,000,101,000,"1,528.00",0.00,4500000308,00010,,EA,100.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,RKIT1800,5000000271,EA,100.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,25.000,EA,0.00,US00,000,000,101,000,382.00,0.00,4500000308,00010,X,EA,25.000,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000002,0000,204,RKIT1800,5000000271,EA,25.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,70.400,EA,0.00,US00,000,000,101,000,"2,024.70",0.00,4500000307,00010,,EA,70.400,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000102800,00,000001,0000,204,CHSP1800,5000000272,EA,70.400,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,17.600,EA,0.00,US00,000,000,101,000,506.18,0.00,4500000307,00010,X,EA,17.600,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000102800,00,000002,0000,204,CHSP1800,5000000272,EA,17.600,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,22.000,EA,0.00,US00,000,000,101,000,883.52,0.00,4500000310,00010,X,EA,22.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,EPAD1800,5000000273,EA,22.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,108.000,EA,0.00,US00,000,000,101,000,"2,965.68",0.00,4500000309,00010,X,EA,108.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0001003070,00,000001,0000,204,CHSP1800,5000000274,EA,108.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,24.800,EA,0.00,US00,000,000,101,000,654.47,0.00,4500000311,00010,,EA,24.800,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,OHMT1800,5000000275,EA,24.800,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,6.200,EA,0.00,US00,000,000,101,000,163.62,0.00,4500000311,00010,X,EA,6.200,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000002,0000,204,OHMT1800,5000000275,EA,6.200,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,65.000,EA,0.00,US00,000,000,101,000,"1,582.75",0.00,4500000315,00010,X,EA,65.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,FAID1800,5000000276,EA,65.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,101.000,EA,0.00,US00,000,000,101,000,"1,558.43",0.00,4500000316,00010,X,EA,101.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000001,0000,204,RKIT1800,5000000277,EA,101.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,100.000,EA,0.00,US00,000,000,101,000,"1,394.00",0.00,4500000312,00010,X,EA,100.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000109800,00,000001,0000,204,SHRT1800,5000000278,EA,100.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,235.000,EA,0.00,US00,000,000,101,000,"2,629.65",0.00,4500000314,00010,X,EA,235.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,BOTL1800,5000000279,EA,235.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,155.000,EA,0.00,US00,000,000,101,000,"2,129.70",0.00,4500000313,00010,X,EA,155.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000109800,00,000001,0000,204,SHRT1800,5000000280,EA,155.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,65.600,EA,0.00,US00,000,000,101,000,995.81,0.00,4500000325,00010,,EA,65.600,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000001,0000,204,RKIT1800,5000000281,EA,65.600,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,16.400,EA,0.00,US00,000,000,101,000,248.95,0.00,4500000325,00010,X,EA,16.400,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000002,0000,204,RKIT1800,5000000281,EA,16.400,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,69.600,EA,0.00,US00,000,000,101,000,"1,078.80",0.00,4500000326,00010,,EA,69.600,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,RKIT1800,5000000282,EA,69.600,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,17.400,EA,0.00,US00,000,000,101,000,269.70,0.00,4500000326,00010,X,EA,17.400,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000002,0000,204,RKIT1800,5000000282,EA,17.400,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,245.000,EA,0.00,US00,000,000,101,000,"2,734.20",0.00,4500000327,00010,X,EA,245.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000283,EA,245.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,48.000,EA,0.00,US00,000,000,101,000,"1,236.96",0.00,4500000328,00010,X,EA,48.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,FAID1800,5000000284,EA,48.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,165.000,EA,0.00,US00,000,000,101,000,"1,711.05",0.00,4500000329,00010,X,EA,165.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000001,0000,204,CAGE1800,5000000285,EA,165.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,120.000,EA,0.00,US00,000,000,101,000,"1,641.60",0.00,4500000330,00010,X,EA,120.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000109800,00,000001,0000,204,SHRT1800,5000000286,EA,120.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,31.000,EA,0.00,US00,000,000,101,000,814.37,0.00,4500000335,00010,X,EA,31.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,OHMT1800,5000000287,EA,31.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,28.000,EA,0.00,US00,000,000,101,000,635.60,0.00,4500000336,00010,X,EA,28.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000001,0000,204,PUMP1800,5000000288,EA,28.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,21.000,EA,0.00,US00,000,000,101,000,837.06,0.00,4500000338,00010,X,EA,21.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,EPAD1800,5000000289,EA,21.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,57.000,EA,0.00,US00,000,000,101,000,"1,953.39",0.00,4500000317,00010,X,EA,57.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0001003070,00,000001,0000,204,CHLK1800,5000000290,EA,57.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,110.000,EA,0.00,US00,000,000,101,000,"1,514.70",0.00,4500000318,00010,X,EA,110.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,SHRT1800,5000000291,EA,110.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,84.000,EA,0.00,US00,000,000,101,000,"1,227.24",0.00,4500000320,00010,X,EA,84.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000001,0000,204,RKIT1800,5000000292,EA,84.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,31.000,EA,0.00,US00,000,000,101,000,805.07,0.00,4500000319,00010,X,EA,31.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,OHMT1800,5000000293,EA,31.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,117.000,EA,0.00,US00,000,000,101,000,"3,238.56",0.00,4500000321,00010,X,EA,117.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000105800,00,000001,0000,204,CHSP1800,5000000294,EA,117.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,20.000,EA,0.00,US00,000,000,101,000,791.60,0.00,4500000356,00010,X,EA,20.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,KPAD1800,5000000296,EA,20.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,31.000,EA,0.00,US00,000,000,101,000,838.24,0.00,4500000357,00010,X,EA,31.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,RHMT1800,5000000297,EA,31.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,28.000,EA,0.00,US00,000,000,101,000,725.20,0.00,4500000322,00010,X,EA,28.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,OHMT1800,5000000298,EA,28.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,18.000,EA,0.00,US00,000,000,101,000,702.90,0.00,4500000323,00010,X,EA,18.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,EPAD1800,5000000299,EA,18.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,19.000,EA,0.00,US00,000,000,101,000,441.75,0.00,4500000324,00010,X,EA,19.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,PUMP1800,5000000300,EA,19.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,22.000,EA,0.00,US00,000,000,101,000,868.78,0.00,4500000331,00010,X,EA,22.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,EPAD1800,5000000301,EA,22.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,78.000,EA,0.00,US00,000,000,101,000,"1,169.22",0.00,4500000332,00010,X,EA,78.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,RKIT1800,5000000302,EA,78.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,34.000,EA,0.00,US00,000,000,101,000,884.68,0.00,4500000333,00010,X,EA,34.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,RHMT1800,5000000303,EA,34.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,130.000,EA,0.00,US00,000,000,101,000,"1,786.20",0.00,4500000334,00010,X,EA,130.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,SHRT1800,5000000304,EA,130.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,29.000,EA,0.00,US00,000,000,101,000,742.98,0.00,4500000339,00010,X,EA,29.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,RHMT1800,5000000305,EA,29.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,19.000,EA,0.00,US00,000,000,101,000,762.66,0.00,4500000340,00010,X,EA,19.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,KPAD1800,5000000306,EA,19.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,61.000,EA,0.00,US00,000,000,101,000,"2,094.74",0.00,4500000342,00010,X,EA,61.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,CHLK1800,5000000307,EA,61.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,145.000,EA,0.00,US00,000,000,101,000,"1,476.10",0.00,4500000343,00010,X,EA,145.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000108800,00,000001,0000,204,CAGE1800,5000000308,EA,145.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,59.000,EA,0.00,US00,000,000,101,000,896.80,0.00,4500000344,00010,X,EA,59.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,RKIT1800,5000000309,EA,59.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,136.000,EA,0.00,US00,000,000,101,000,"1,493.28",0.00,4500000345,00010,,EA,136.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,BOTL1800,5000000310,EA,136.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,34.000,EA,0.00,US00,000,000,101,000,373.32,0.00,4500000345,00010,X,EA,34.000,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000002,0000,204,BOTL1800,5000000310,EA,34.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,21.000,EA,0.00,US00,000,000,101,000,843.57,0.00,4500000346,00010,X,EA,21.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,EPAD1800,5000000311,EA,21.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
