ABDAT,ABFTZ,ABMNG,ADRNR,AEDAT,AGDAT,ARSNR,ARSPS,BPRME,BPUMN,BPUMZ,BRTWR,BSTYP,BUKRS,EBELN,EBELP,EFFWR,ELIKZ,EMATN,ETFZ1,ETFZ2,GEWEI,INFNR,KTMNG,KTPNR,LMEIN,MAHN1,MAHN2,MAHN3,MAHNZ,MANDT,MATKL,MATNR,MEINS,MENGE,MWSKZ,NAVNW,NETPR,NETWR,NTGEW,PEINH,PLIFZ,PRDAT,PRSDR,PSTYP,REPOS,SPINF,STAFO,TXDAT,TXDAT_FROM,TXJCD,TXZ01,UEBTO,UMREN,UMREZ,UNIQUEID,UNTTO,WEBAZ,WEPOS,WERKS,ZWERT
00/00/0000,0.000,0.000,0000130047,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,"2,087.42",F,US00,4500000285,00010,"2,087.42",X,CHLK1800,0,0,OZ,5300000012,0.000,00000,EA,0,0,0,0,204,UTIL,CHLK1800,EA,61.000,XI,0.00,34.22,"2,087.42",0.000,1,6,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock 800,0.0,1,1,450000028500010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130049,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,"1,814.80",F,US00,4500000286,00010,"1,814.80",X,SHRT1800,0,0,OZ,5300000016,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,130.000,XI,0.00,13.96,"1,814.80",16.000,1,1,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000028600010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130051,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,"2,687.52",F,US00,4500000287,00010,"2,687.52",X,RKIT1800,0,0,OZ,5300000013,0.000,00000,EA,0,0,0,0,204,UTIL,RKIT1800,EA,176.000,XI,0.00,15.27,"2,687.52",12.000,1,1,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Repair Kit,0.0,1,1,450000028700010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130053,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,"2,481.75",F,US00,4500000288,00010,"2,481.75",X,BOTL1800,0,0,OZ,5300000034,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,225.000,XI,0.00,11.03,"2,481.75",1.000,1,1,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000028800010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130055,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,151.04",F,US00,4500000289,00010,"2,151.04",X,CHLK1800,0,0,OZ,5300000029,0.000,00000,EA,0,0,0,0,204,UTIL,CHLK1800,EA,64.000,XI,0.00,33.61,"2,151.04",0.000,1,6,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock 800,0.0,1,1,450000028900010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130057,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,770.45,F,US00,4500000290,00010,770.45,X,EPAD1800,0,0,OZ,5300000028,0.000,00000,EA,0,0,0,0,204,SFTY,EPAD1800,EA,19.000,XI,0.00,40.55,770.45,32.000,1,1,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Elbow Pads,0.0,1,1,450000029000010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130059,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,399.40",F,US00,4500000291,00010,"2,399.40",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,215.000,XI,0.00,11.16,"2,399.40",1.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000029100010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130061,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,195.55",F,US00,4500000292,00010,"2,195.55",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,205.000,XI,0.00,10.71,"2,195.55",1.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000029200010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130063,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,847.35,F,US00,4500000293,00010,847.35,X,KPAD1800,0,0,OZ,5300000025,0.000,00000,EA,0,0,0,0,204,SFTY,KPAD1800,EA,21.000,XI,0.00,40.35,847.35,16.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Knee Pads,0.0,1,1,450000029300010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130065,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,210.20",F,US00,4500000294,00010,"2,210.20",X,CAGE1800,0,0,OZ,5300000015,0.000,00000,EA,0,0,0,0,204,UTIL,CAGE1800,EA,215.000,XI,0.00,10.28,"2,210.20",8.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle Cage,0.0,1,1,450000029400010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130067,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,459.60",F,US00,4500000295,00010,"2,459.60",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,220.000,XI,0.00,11.18,"2,459.60",1.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000029500010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130069,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,172.30",F,US00,4500000296,00010,"2,172.30",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,195.000,XI,0.00,11.14,"2,172.30",1.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000029600010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130071,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,609.65",F,US00,4500000297,00010,"2,609.65",X,CHSP1800,0,0,OZ,5300000011,0.000,00000,EA,0,0,0,0,204,UTIL,CHSP1800,EA,95.000,XI,0.00,27.47,"2,609.65",0.000,1,6,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock Security Pro 800,0.0,1,1,450000029700010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130073,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,956.10",F,US00,4500000298,00010,"2,956.10",X,SHRT1800,0,0,OZ,5300000026,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,205.000,XI,0.00,14.42,"2,956.10",16.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000029800010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130075,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"4,323.24",F,US00,4500000299,00010,"4,323.24",X,KPAD1800,0,0,OZ,5300000025,0.000,00000,EA,0,0,0,0,204,SFTY,KPAD1800,EA,108.000,XI,0.00,40.03,"4,323.24",16.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Knee Pads,0.0,1,1,450000029900010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130077,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,"2,125.50",F,US00,4500000300,00010,"2,125.50",X,SHRT1800,0,0,OZ,5300000016,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,150.000,XI,0.00,14.17,"2,125.50",16.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000030000010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130079,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,768.49,F,US00,4500000301,00010,768.49,X,FAID1800,0,0,OZ,5300000018,0.000,00000,EA,0,0,0,0,204,UTIL,FAID1800,EA,31.000,XI,0.00,24.79,768.49,12.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,First Aid Kit,0.0,1,1,450000030100010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130082,06/03/2026,00/00/0000,0000000000,0000,EA,1,1,869.88,F,US00,4500000302,00010,869.88,X,RHMT1800,0,0,OZ,5300000024,0.000,00000,EA,0,0,0,0,204,SFTY,RHMT1800,EA,33.000,XI,0.00,26.36,869.88,10.000,1,1,06/03/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Road Helmet,0.0,1,1,450000030200010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130083,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,768.60,F,US00,4500000303,00010,768.60,X,RHMT1800,0,0,OZ,5300000024,0.000,00000,EA,0,0,0,0,204,SFTY,RHMT1800,EA,30.000,XI,0.00,25.62,768.60,10.000,1,1,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Road Helmet,0.0,1,1,450000030300010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130085,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,737.52,F,US00,4500000304,00010,737.52,X,RHMT1800,0,0,OZ,5300000020,0.000,00000,EA,0,0,0,0,204,SFTY,RHMT1800,EA,28.000,XI,0.00,26.34,737.52,10.000,1,1,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Road Helmet,0.0,1,1,450000030400010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130087,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,802.60,F,US00,4500000305,00010,802.60,X,KPAD1800,0,0,OZ,5300000019,0.000,00000,EA,0,0,0,0,204,SFTY,KPAD1800,EA,20.000,XI,0.00,40.13,802.60,16.000,1,1,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Knee Pads,0.0,1,1,450000030500010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130089,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,"4,073.37",F,US00,4500000306,00010,"4,073.37",X,CHSP1800,0,0,OZ,5300000011,0.000,00000,EA,0,0,0,0,204,UTIL,CHSP1800,EA,147.000,XI,0.00,27.71,"4,073.37",0.000,1,6,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock Security Pro 800,0.0,1,1,450000030600010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130091,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,"2,530.88",F,US00,4500000307,00010,"2,530.88",X,CHSP1800,0,0,OZ,5300000027,0.000,00000,EA,0,0,0,0,204,UTIL,CHSP1800,EA,88.000,XI,0.00,28.76,"2,530.88",0.000,1,6,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock Security Pro 800,0.0,1,1,450000030700010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130093,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,"1,910.00",F,US00,4500000308,00010,"1,910.00",X,RKIT1800,0,0,OZ,5300000013,0.000,00000,EA,0,0,0,0,204,UTIL,RKIT1800,EA,125.000,XI,0.00,15.28,"1,910.00",12.000,1,1,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Repair Kit,0.0,1,1,450000030800010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130095,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,"2,965.68",F,US00,4500000309,00010,"2,965.68",X,CHSP1800,0,0,OZ,5300000011,0.000,00000,EA,0,0,0,0,204,UTIL,CHSP1800,EA,108.000,XI,0.00,27.46,"2,965.68",0.000,1,6,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock Security Pro 800,0.0,1,1,450000030900010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130097,06/04/2026,00/00/0000,0000000000,0000,EA,1,1,883.52,F,US00,4500000310,00010,883.52,X,EPAD1800,0,0,OZ,5300000017,0.000,00000,EA,0,0,0,0,204,SFTY,EPAD1800,EA,22.000,XI,0.00,40.16,883.52,32.000,1,1,06/04/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Elbow Pads,0.0,1,1,450000031000010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130099,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,818.09,F,US00,4500000311,00010,818.09,X,OHMT1800,0,0,OZ,5300000022,0.000,00000,EA,0,0,0,0,204,SFTY,OHMT1800,EA,31.000,XI,0.00,26.39,818.09,15.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Off Road Helmet,0.0,1,1,450000031100010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130101,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"1,394.00",F,US00,4500000312,00010,"1,394.00",X,SHRT1800,0,0,OZ,5300000026,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,100.000,XI,0.00,13.94,"1,394.00",16.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000031200010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130103,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"2,129.70",F,US00,4500000313,00010,"2,129.70",X,SHRT1800,0,0,OZ,5300000026,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,155.000,XI,0.00,13.74,"2,129.70",16.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000031300010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130105,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"2,629.65",F,US00,4500000314,00010,"2,629.65",X,BOTL1800,0,0,OZ,5300000034,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,235.000,XI,0.00,11.19,"2,629.65",1.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000031400010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130107,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"1,582.75",F,US00,4500000315,00010,"1,582.75",X,FAID1800,0,0,OZ,5300000018,0.000,00000,EA,0,0,0,0,204,UTIL,FAID1800,EA,65.000,XI,0.00,24.35,"1,582.75",12.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,First Aid Kit,0.0,1,1,450000031500010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130109,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"1,558.43",F,US00,4500000316,00010,"1,558.43",X,RKIT1800,0,0,OZ,5300000030,0.000,00000,EA,0,0,0,0,204,UTIL,RKIT1800,EA,101.000,XI,0.00,15.43,"1,558.43",12.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Repair Kit,0.0,1,1,450000031600010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130111,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"1,953.39",F,US00,4500000317,00010,"1,953.39",X,CHLK1800,0,0,OZ,5300000029,0.000,00000,EA,0,0,0,0,204,UTIL,CHLK1800,EA,57.000,XI,0.00,34.27,"1,953.39",0.000,1,6,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock 800,0.0,1,1,450000031700010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130113,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,"1,514.70",F,US00,4500000318,00010,"1,514.70",X,SHRT1800,0,0,OZ,5300000016,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,110.000,XI,0.00,13.77,"1,514.70",16.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000031800010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130115,06/05/2026,00/00/0000,0000000000,0000,EA,1,1,805.07,F,US00,4500000319,00010,805.07,X,OHMT1800,0,0,OZ,5300000022,0.000,00000,EA,0,0,0,0,204,SFTY,OHMT1800,EA,31.000,XI,0.00,25.97,805.07,15.000,1,1,06/05/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Off Road Helmet,0.0,1,1,450000031900010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130117,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"1,227.24",F,US00,4500000320,00010,"1,227.24",X,RKIT1800,0,0,OZ,5300000030,0.000,00000,EA,0,0,0,0,204,UTIL,RKIT1800,EA,84.000,XI,0.00,14.61,"1,227.24",12.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Repair Kit,0.0,1,1,450000032000010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130119,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"3,238.56",F,US00,4500000321,00010,"3,238.56",X,CHSP1800,0,0,OZ,5300000033,0.000,00000,EA,0,0,0,0,204,UTIL,CHSP1800,EA,117.000,XI,0.00,27.68,"3,238.56",0.000,1,6,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock Security Pro 800,0.0,1,1,450000032100010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130121,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,725.20,F,US00,4500000322,00010,725.20,X,OHMT1800,0,0,OZ,5300000022,0.000,00000,EA,0,0,0,0,204,SFTY,OHMT1800,EA,28.000,XI,0.00,25.90,725.20,15.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Off Road Helmet,0.0,1,1,450000032200010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130123,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,702.90,F,US00,4500000323,00010,702.90,X,EPAD1800,0,0,OZ,5300000017,0.000,00000,EA,0,0,0,0,204,SFTY,EPAD1800,EA,18.000,XI,0.00,39.05,702.90,32.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Elbow Pads,0.0,1,1,450000032300010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130125,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,441.75,F,US00,4500000324,00010,441.75,X,PUMP1800,0,0,OZ,5300000023,0.000,00000,EA,0,0,0,0,204,UTIL,PUMP1800,EA,19.000,XI,0.00,23.25,441.75,10.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Air Pump,0.0,1,1,450000032400010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130127,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"1,244.76",F,US00,4500000325,00010,"1,244.76",X,RKIT1800,0,0,OZ,5300000030,0.000,00000,EA,0,0,0,0,204,UTIL,RKIT1800,EA,82.000,XI,0.00,15.18,"1,244.76",12.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Repair Kit,0.0,1,1,450000032500010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130129,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"1,348.50",F,US00,4500000326,00010,"1,348.50",X,RKIT1800,0,0,OZ,5300000013,0.000,00000,EA,0,0,0,0,204,UTIL,RKIT1800,EA,87.000,XI,0.00,15.50,"1,348.50",12.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Repair Kit,0.0,1,1,450000032600010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130131,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"2,734.20",F,US00,4500000327,00010,"2,734.20",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,245.000,XI,0.00,11.16,"2,734.20",1.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000032700010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130133,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"1,236.96",F,US00,4500000328,00010,"1,236.96",X,FAID1800,0,0,OZ,5300000031,0.000,00000,EA,0,0,0,0,204,UTIL,FAID1800,EA,48.000,XI,0.00,25.77,"1,236.96",12.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,First Aid Kit,0.0,1,1,450000032800010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130135,06/08/2026,00/00/0000,0000000000,0000,EA,1,1,"1,711.05",F,US00,4500000329,00010,"1,711.05",X,CAGE1800,0,0,OZ,5300000021,0.000,00000,EA,0,0,0,0,204,UTIL,CAGE1800,EA,165.000,XI,0.00,10.37,"1,711.05",8.000,1,1,06/08/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle Cage,0.0,1,1,450000032900010,0.0,0,X,MI00,0.00
