ARKUEMW,ARKUEN,BELNR,BEZNK,BLART,BLDAT,BUDAT,BUKRS,CPUDT,CPUTM,CTXKRS,GJAHR,KURSF,LIEFFMW,LIEFFN,LIFNR,LOGSYS,MAKZMW,MAKZN,MANDT,MONAT,MWSKZ1,QSFBT,QSSHB,RBSTAT,REBZJ,RMWWR,SAPRL,STJAH,TCODE,TXDAT,TXDAT_FROM,TXKRS,USNAM,VATDATE,VGART,WAERS,WMWST1,WMWST2,WSKTO,XMWST,XRBTX,XRECH,ZBD1P,ZBD1T,ZBD2P,ZBD2T,ZBD3T,ZFBDT
0.00,0.00,5105600312,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:12:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,926.03",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600313,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:22:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,770.45,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600314,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:24:00,0.00000,2026,1.00000,0.00,0.00,0001003070,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,151.04",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600315,0.00,RE,06/19/2026,06/01/2026,US00,06/19/2026,18:54:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,172.30",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600316,0.00,RE,06/19/2026,06/01/2026,US00,06/22/2026,14:16:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,459.60",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600317,0.00,RE,06/19/2026,06/01/2026,US00,06/22/2026,14:16:00,0.00000,2026,1.00000,0.00,0.00,0001003070,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,609.65",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600318,0.00,RE,06/22/2026,06/01/2026,US00,06/22/2026,23:28:00,0.00000,2026,1.00000,0.00,0.00,0000109800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,956.10",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600319,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:15:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,425.20",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600320,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:37:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,399.40",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600321,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:37:00,0.00000,2026,1.00000,0.00,0.00,0000106800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,210.20",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600322,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:57:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,768.60,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600323,0.00,RE,06/21/2026,06/01/2026,US00,06/22/2026,22:24:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,802.60,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600324,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,14:51:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"4,323.24",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600325,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:04:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,768.49,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600326,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:43:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,847.35,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600327,0.00,RE,06/21/2026,06/01/2026,US00,06/23/2026,15:09:00,0.00000,2026,1.00000,0.00,0.00,0001003070,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"4,073.37",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600328,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:16:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,883.52,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600329,0.00,RE,06/21/2026,06/01/2026,US00,06/23/2026,15:44:00,0.00000,2026,1.00000,0.00,0.00,0001003070,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,965.68",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600330,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:55:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,195.55",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600331,0.00,RE,06/19/2026,06/01/2026,US00,06/22/2026,14:26:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,582.75",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600332,0.00,RE,06/19/2026,06/01/2026,US00,06/22/2026,14:31:00,0.00000,2026,1.00000,0.00,0.00,0000108800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,558.43",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600333,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:21:00,0.00000,2026,1.00000,0.00,0.00,0000109800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,394.00",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600334,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:26:00,0.00000,2026,1.00000,0.00,0.00,0000110800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,629.65",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600335,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,15:36:00,0.00000,2026,1.00000,0.00,0.00,0000109800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,129.70",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600336,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,16:07:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,737.52,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600337,0.00,RE,06/23/2026,06/01/2026,US00,06/23/2026,19:11:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,236.96",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600338,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,19:08:00,0.00000,2026,1.00000,0.00,0.00,0000110800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,125.50",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600339,0.00,RE,06/23/2026,06/01/2026,US00,06/23/2026,19:31:00,0.00000,2026,1.00000,0.00,0.00,0000109800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,641.60",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600340,0.00,RE,06/21/2026,06/01/2026,US00,06/23/2026,20:51:00,0.00000,2026,1.00000,0.00,0.00,0000102800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,530.88",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600341,0.00,RE,06/23/2026,06/01/2026,US00,06/23/2026,21:16:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,734.20",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600342,0.00,RE,06/22/2026,06/01/2026,US00,06/23/2026,22:05:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,818.09,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600343,0.00,RE,06/21/2026,06/01/2026,US00,06/24/2026,14:42:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,910.00",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600344,0.00,RE,06/23/2026,06/01/2026,US00,06/24/2026,14:08:00,0.00000,2026,1.00000,0.00,0.00,0000108800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,711.05",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600345,0.00,RE,06/23/2026,06/01/2026,US00,06/24/2026,15:12:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,348.50",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600346,0.00,RE,06/23/2026,06/01/2026,US00,06/24/2026,14:55:00,0.00000,2026,1.00000,0.00,0.00,0000108800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,244.76",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600347,0.00,RE,06/25/2026,06/01/2026,US00,06/26/2026,14:12:00,0.00000,2026,1.00000,0.00,0.00,0000108800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,635.60,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600348,0.00,RE,06/25/2026,06/01/2026,US00,06/26/2026,14:13:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,814.37,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600349,0.00,RE,06/25/2026,06/01/2026,US00,06/26/2026,14:28:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,838.24,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600351,0.00,RE,06/25/2026,06/01/2026,US00,06/26/2026,14:39:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,837.06,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600352,0.00,RE,06/25/2026,06/01/2026,US00,06/26/2026,14:51:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,791.60,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600353,0.00,RE,06/26/2026,06/01/2026,US00,06/26/2026,19:06:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,702.90,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600354,0.00,RE,06/26/2026,06/01/2026,US00,06/26/2026,22:26:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,725.20,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600355,0.00,RE,06/26/2026,06/01/2026,US00,06/29/2026,14:12:00,0.00000,2026,1.00000,0.00,0.00,0000110800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,514.70",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600356,0.00,RE,06/26/2026,06/01/2026,US00,06/29/2026,14:11:00,0.00000,2026,1.00000,0.00,0.00,0001003070,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,953.39",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600357,0.00,RE,06/26/2026,06/01/2026,US00,06/29/2026,14:21:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,805.07,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600358,0.00,RE,06/26/2026,06/01/2026,US00,06/29/2026,14:25:00,0.00000,2026,1.00000,0.00,0.00,0000105800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"3,238.56",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600359,0.00,RE,06/26/2026,06/01/2026,US00,06/29/2026,14:37:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,441.75,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600360,0.00,RE,06/26/2026,06/01/2026,US00,06/29/2026,14:32:00,0.00000,2026,1.00000,0.00,0.00,0000108800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,227.24",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600361,0.00,RE,06/28/2026,06/01/2026,US00,06/29/2026,16:56:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,884.68,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600362,0.00,RE,06/28/2026,06/01/2026,US00,06/30/2026,14:09:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,868.78,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600363,0.00,RE,06/28/2026,06/01/2026,US00,06/30/2026,14:12:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,169.22",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600364,0.00,RE,06/28/2026,06/01/2026,US00,06/30/2026,14:24:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,742.98,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600365,0.00,RE,06/28/2026,06/01/2026,US00,06/30/2026,14:24:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,762.66,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
