CHANGENR,CHANGE_IND,LANGU,MANDANT,OBJECTCLAS,OBJECTID,TCODE,UDATE,USERNAME,UTIME,VERSION,_DATAAGING
0000735375,U,D,204,ADRESSE,ME020000130047,ME21N,06/02/2026,buyer_mi00,11:15:08,000,00/00/0000
0000735377,U,D,204,ADRESSE,ME020000130048,,06/02/2026,inventory_manager_mi00,09:21:18,000,00/00/0000
0000735380,U,D,204,ADRESSE,ME020000130049,ME21N,06/02/2026,buyer_mi00,10:33:18,000,00/00/0000
0000735382,U,D,204,ADRESSE,ME020000130050,,06/02/2026,inventory_manager_mi00,10:09:08,000,00/00/0000
0000735385,U,D,204,ADRESSE,ME020000130051,ME21N,06/02/2026,buyer_mi00,11:06:08,000,00/00/0000
0000735387,U,D,204,ADRESSE,ME020000130052,,06/02/2026,inventory_manager_mi00,14:22:09,000,00/00/0000
0000735317,I,D,204,BANF,0010000313,,06/01/2026,inventory_manager_mi00,08:41:13,000,00/00/0000
0000735320,U,D,204,BANF,0010000313,ME21N,06/01/2026,buyer_mi00,11:01:13,000,00/00/0000
0000735322,I,D,204,BANF,0010000314,,06/01/2026,inventory_manager_mi00,09:04:59,000,00/00/0000
0000735325,U,D,204,BANF,0010000314,ME21N,06/01/2026,buyer_mi00,11:39:59,000,00/00/0000
0000735327,I,D,204,BANF,0010000315,,06/01/2026,inventory_manager_mi00,09:42:52,000,00/00/0000
0000735330,U,D,204,BANF,0010000315,ME21N,06/01/2026,buyer_mi00,11:14:52,000,00/00/0000
0000735332,I,D,204,BANF,0010000316,,06/01/2026,inventory_manager_mi00,10:39:04,000,00/00/0000
0000735335,U,D,204,BANF,0010000316,ME21N,06/01/2026,buyer_mi00,11:23:52,000,00/00/0000
0000735337,I,D,204,BANF,0010000317,,06/01/2026,inventory_manager_mi00,10:50:04,000,00/00/0000
0000735340,U,D,204,BANF,0010000317,ME21N,06/01/2026,buyer_mi00,12:53:04,000,00/00/0000
0000735342,I,D,204,BANF,0010000318,,06/01/2026,inventory_manager_mi00,13:54:51,000,00/00/0000
0000735345,U,D,204,BANF,0010000318,ME21N,06/01/2026,buyer_mi00,15:09:51,000,00/00/0000
0000735347,I,D,204,BANF,0010000319,,06/01/2026,inventory_manager_mi00,14:27:03,000,00/00/0000
0000735350,U,D,204,BANF,0010000319,ME21N,06/02/2026,buyer_mi00,08:08:00,000,00/00/0000
0000735352,I,D,204,BANF,0010000320,,06/01/2026,inventory_manager_mi00,15:14:33,000,00/00/0000
0000735355,U,D,204,BANF,0010000320,ME21N,06/01/2026,buyer_mi00,16:39:33,000,00/00/0000
0000735357,I,D,204,BANF,0010000321,,06/01/2026,inventory_manager_mi00,16:01:31,000,00/00/0000
0000735362,U,D,204,BANF,0010000321,ME21N,06/02/2026,buyer_mi00,08:19:00,000,00/00/0000
0000735364,I,D,204,BANF,0010000322,,06/02/2026,inventory_manager_mi00,08:15:00,000,00/00/0000
0000735367,U,D,204,BANF,0010000322,ME21N,06/02/2026,buyer_mi00,10:20:00,000,00/00/0000
0000735369,I,D,204,BANF,0010000323,,06/02/2026,inventory_manager_mi00,08:44:13,000,00/00/0000
0000735374,U,D,204,BANF,0010000323,ME21N,06/02/2026,buyer_mi00,11:15:08,000,00/00/0000
0000735376,I,D,204,BANF,0010000324,,06/02/2026,inventory_manager_mi00,09:21:18,000,00/00/0000
0000735379,U,D,204,BANF,0010000324,ME21N,06/02/2026,buyer_mi00,10:33:18,000,00/00/0000
0000735381,I,D,204,BANF,0010000325,,06/02/2026,inventory_manager_mi00,10:09:08,000,00/00/0000
0000735384,U,D,204,BANF,0010000325,ME21N,06/02/2026,buyer_mi00,11:06:08,000,00/00/0000
0000735386,I,D,204,BANF,0010000326,,06/02/2026,inventory_manager_mi00,14:22:09,000,00/00/0000
0000735319,I,D,204,EINKBELEG,4500000275,ME21N,06/01/2026,buyer_mi00,11:01:13,000,00/00/0000
0000735324,I,D,204,EINKBELEG,4500000276,ME21N,06/01/2026,buyer_mi00,11:39:59,000,00/00/0000
0000735329,I,D,204,EINKBELEG,4500000277,ME21N,06/01/2026,buyer_mi00,11:14:52,000,00/00/0000
0000735334,I,D,204,EINKBELEG,4500000278,ME21N,06/01/2026,buyer_mi00,11:23:52,000,00/00/0000
0000735339,I,D,204,EINKBELEG,4500000279,ME21N,06/01/2026,buyer_mi00,12:53:04,000,00/00/0000
0000735344,I,D,204,EINKBELEG,4500000280,ME21N,06/01/2026,buyer_mi00,15:09:51,000,00/00/0000
0000735349,I,D,204,EINKBELEG,4500000281,ME21N,06/02/2026,buyer_mi00,08:08:00,000,00/00/0000
0000735354,I,D,204,EINKBELEG,4500000282,ME21N,06/01/2026,buyer_mi00,16:39:33,000,00/00/0000
0000735361,I,D,204,EINKBELEG,4500000283,ME21N,06/02/2026,buyer_mi00,08:19:00,000,00/00/0000
0000735366,I,D,204,EINKBELEG,4500000284,ME21N,06/02/2026,buyer_mi00,10:20:00,000,00/00/0000
0000735373,I,D,204,EINKBELEG,4500000285,ME21N,06/02/2026,buyer_mi00,11:15:08,000,00/00/0000
0000735378,I,D,204,EINKBELEG,4500000286,ME21N,06/02/2026,buyer_mi00,10:33:18,000,00/00/0000
0000735383,I,D,204,EINKBELEG,4500000287,ME21N,06/02/2026,buyer_mi00,11:06:08,000,00/00/0000
0000735359,U,D,204,KRED,0001003070,XK02,06/16/2026,chief_accountant_US,09:18:00,000,00/00/0000
0000735371,U,D,204,KRED,0001003070,XK02,06/16/2026,chief_accountant_US,13:50:00,000,00/00/0000
0000735390,U,D,204,ADRESSE,ME020000130053,ME21N,06/02/2026,buyer_mi00,17:16:09,000,00/00/0000
0000735392,U,D,204,ADRESSE,ME020000130054,,06/02/2026,inventory_manager_mi00,14:51:47,000,00/00/0000
0000735395,U,D,204,ADRESSE,ME020000130055,ME21N,06/03/2026,buyer_mi00,08:12:00,000,00/00/0000
0000735397,U,D,204,ADRESSE,ME020000130056,,06/02/2026,inventory_manager_mi00,15:29:48,000,00/00/0000
0000735400,U,D,204,ADRESSE,ME020000130057,ME21N,06/02/2026,buyer_mi00,16:17:48,000,00/00/0000
0000735402,U,D,204,ADRESSE,ME020000130058,,06/02/2026,inventory_manager_mi00,15:49:18,000,00/00/0000
0000735405,U,D,204,ADRESSE,ME020000130059,ME21N,06/03/2026,buyer_mi00,08:26:00,000,00/00/0000
0000735407,U,D,204,ADRESSE,ME020000130060,,06/02/2026,inventory_manager_mi00,16:07:18,000,00/00/0000
0000735410,U,D,204,ADRESSE,ME020000130061,ME21N,06/03/2026,buyer_mi00,08:39:00,000,00/00/0000
0000735412,U,D,204,ADRESSE,ME020000130062,,06/03/2026,inventory_manager_mi00,08:11:00,000,00/00/0000
0000735415,U,D,204,ADRESSE,ME020000130063,ME21N,06/03/2026,buyer_mi00,09:15:00,000,00/00/0000
0000735417,U,D,204,ADRESSE,ME020000130064,,06/03/2026,inventory_manager_mi00,08:25:00,000,00/00/0000
0000735420,U,D,204,ADRESSE,ME020000130065,ME21N,06/03/2026,buyer_mi00,11:36:00,000,00/00/0000
0000735422,U,D,204,ADRESSE,ME020000130066,,06/03/2026,inventory_manager_mi00,08:54:54,000,00/00/0000
0000735425,U,D,204,ADRESSE,ME020000130067,ME21N,06/03/2026,buyer_mi00,10:55:54,000,00/00/0000
0000735427,U,D,204,ADRESSE,ME020000130068,,06/03/2026,inventory_manager_mi00,09:09:55,000,00/00/0000
0000735430,U,D,204,ADRESSE,ME020000130069,ME21N,06/03/2026,buyer_mi00,12:32:00,000,00/00/0000
0000735432,U,D,204,ADRESSE,ME020000130070,,06/03/2026,inventory_manager_mi00,09:55:18,000,00/00/0000
0000735435,U,D,204,ADRESSE,ME020000130071,ME21N,06/03/2026,buyer_mi00,11:08:54,000,00/00/0000
0000735437,U,D,204,ADRESSE,ME020000130072,,06/03/2026,inventory_manager_mi00,10:32:20,000,00/00/0000
0000735440,U,D,204,ADRESSE,ME020000130073,ME21N,06/03/2026,buyer_mi00,13:35:20,000,00/00/0000
0000735442,U,D,204,ADRESSE,ME020000130074,,06/03/2026,inventory_manager_mi00,11:30:48,000,00/00/0000
0000735445,U,D,204,ADRESSE,ME020000130075,ME21N,06/03/2026,buyer_mi00,13:57:48,000,00/00/0000
0000735447,U,D,204,ADRESSE,ME020000130076,,06/03/2026,inventory_manager_mi00,13:13:00,000,00/00/0000
0000735450,U,D,204,ADRESSE,ME020000130077,ME21N,06/03/2026,buyer_mi00,14:23:00,000,00/00/0000
0000735452,U,D,204,ADRESSE,ME020000130078,,06/03/2026,inventory_manager_mi00,13:59:05,000,00/00/0000
0000735457,U,D,204,ADRESSE,ME020000130079,ME21N,06/03/2026,buyer_mi00,15:43:05,000,00/00/0000
0000735459,U,D,204,ADRESSE,ME020000130080,,06/03/2026,inventory_manager_mi00,14:53:05,000,00/00/0000
0000735389,U,D,204,BANF,0010000326,ME21N,06/02/2026,buyer_mi00,17:16:09,000,00/00/0000
0000735391,I,D,204,BANF,0010000327,,06/02/2026,inventory_manager_mi00,14:51:47,000,00/00/0000
0000735394,U,D,204,BANF,0010000327,ME21N,06/03/2026,buyer_mi00,08:12:00,000,00/00/0000
0000735396,I,D,204,BANF,0010000328,,06/02/2026,inventory_manager_mi00,15:29:48,000,00/00/0000
0000735399,U,D,204,BANF,0010000328,ME21N,06/02/2026,buyer_mi00,16:17:48,000,00/00/0000
0000735401,I,D,204,BANF,0010000329,,06/02/2026,inventory_manager_mi00,15:49:18,000,00/00/0000
0000735404,U,D,204,BANF,0010000329,ME21N,06/03/2026,buyer_mi00,08:26:00,000,00/00/0000
0000735406,I,D,204,BANF,0010000330,,06/02/2026,inventory_manager_mi00,16:07:18,000,00/00/0000
0000735409,U,D,204,BANF,0010000330,ME21N,06/03/2026,buyer_mi00,08:39:00,000,00/00/0000
0000735411,I,D,204,BANF,0010000331,,06/03/2026,inventory_manager_mi00,08:11:00,000,00/00/0000
0000735414,U,D,204,BANF,0010000331,ME21N,06/03/2026,buyer_mi00,09:15:00,000,00/00/0000
0000735416,I,D,204,BANF,0010000332,,06/03/2026,inventory_manager_mi00,08:25:00,000,00/00/0000
0000735419,U,D,204,BANF,0010000332,ME21N,06/03/2026,buyer_mi00,11:36:00,000,00/00/0000
0000735421,I,D,204,BANF,0010000333,,06/03/2026,inventory_manager_mi00,08:54:54,000,00/00/0000
0000735424,U,D,204,BANF,0010000333,ME21N,06/03/2026,buyer_mi00,10:55:54,000,00/00/0000
0000735426,I,D,204,BANF,0010000334,,06/03/2026,inventory_manager_mi00,09:09:55,000,00/00/0000
0000735429,U,D,204,BANF,0010000334,ME21N,06/03/2026,buyer_mi00,12:32:00,000,00/00/0000
0000735431,I,D,204,BANF,0010000335,,06/03/2026,inventory_manager_mi00,09:55:18,000,00/00/0000
0000735434,U,D,204,BANF,0010000335,ME21N,06/03/2026,buyer_mi00,11:08:54,000,00/00/0000
0000735436,I,D,204,BANF,0010000336,,06/03/2026,inventory_manager_mi00,10:32:20,000,00/00/0000
0000735439,U,D,204,BANF,0010000336,ME21N,06/03/2026,buyer_mi00,13:35:20,000,00/00/0000
0000735441,I,D,204,BANF,0010000337,,06/03/2026,inventory_manager_mi00,11:30:48,000,00/00/0000
0000735444,U,D,204,BANF,0010000337,ME21N,06/03/2026,buyer_mi00,13:57:48,000,00/00/0000
0000735446,I,D,204,BANF,0010000338,,06/03/2026,inventory_manager_mi00,13:13:00,000,00/00/0000
0000735449,U,D,204,BANF,0010000338,ME21N,06/03/2026,buyer_mi00,14:23:00,000,00/00/0000
0000735451,I,D,204,BANF,0010000339,,06/03/2026,inventory_manager_mi00,13:59:05,000,00/00/0000
0000735456,U,D,204,BANF,0010000339,ME21N,06/03/2026,buyer_mi00,15:43:05,000,00/00/0000
0000735458,I,D,204,BANF,0010000340,,06/03/2026,inventory_manager_mi00,14:53:05,000,00/00/0000
0000735993,U,D,204,BUPA_BUP,0000108800,,07/01/2026,accounts_payable_clerk_mi00,09:34:00,000,00/00/0000
0000735388,I,D,204,EINKBELEG,4500000288,ME21N,06/02/2026,buyer_mi00,17:16:09,000,00/00/0000
0000735393,I,D,204,EINKBELEG,4500000289,ME21N,06/03/2026,buyer_mi00,08:12:00,000,00/00/0000
0000735398,I,D,204,EINKBELEG,4500000290,ME21N,06/02/2026,buyer_mi00,16:17:48,000,00/00/0000
0000735403,I,D,204,EINKBELEG,4500000291,ME21N,06/03/2026,buyer_mi00,08:26:00,000,00/00/0000
0000735408,I,D,204,EINKBELEG,4500000292,ME21N,06/03/2026,buyer_mi00,08:39:00,000,00/00/0000
0000735413,I,D,204,EINKBELEG,4500000293,ME21N,06/03/2026,buyer_mi00,09:15:00,000,00/00/0000
0000735418,I,D,204,EINKBELEG,4500000294,ME21N,06/03/2026,buyer_mi00,11:36:00,000,00/00/0000
0000735423,I,D,204,EINKBELEG,4500000295,ME21N,06/03/2026,buyer_mi00,10:55:54,000,00/00/0000
0000735428,I,D,204,EINKBELEG,4500000296,ME21N,06/03/2026,buyer_mi00,12:32:00,000,00/00/0000
0000735433,I,D,204,EINKBELEG,4500000297,ME21N,06/03/2026,buyer_mi00,11:08:54,000,00/00/0000
0000735438,I,D,204,EINKBELEG,4500000298,ME21N,06/03/2026,buyer_mi00,13:35:20,000,00/00/0000
0000735443,I,D,204,EINKBELEG,4500000299,ME21N,06/03/2026,buyer_mi00,13:57:48,000,00/00/0000
0000735448,I,D,204,EINKBELEG,4500000300,ME21N,06/03/2026,buyer_mi00,14:23:00,000,00/00/0000
0000735455,I,D,204,EINKBELEG,4500000301,ME21N,06/03/2026,buyer_mi00,15:43:05,000,00/00/0000
0000735453,U,D,204,KRED,0001003070,XK02,06/22/2026,chief_accountant_US,09:43:00,000,00/00/0000
0000735461,U,D,204,ADRESSE,ME020000130081,,06/03/2026,inventory_manager_mi00,15:50:31,000,00/00/0000
0000735464,U,D,204,ADRESSE,ME020000130082,ME21N,06/03/2026,buyer_mi00,16:03:05,000,00/00/0000
0000735469,U,D,204,ADRESSE,ME020000130083,ME21N,06/04/2026,buyer_mi00,08:13:00,000,00/00/0000
0000735471,U,D,204,ADRESSE,ME020000130084,,06/04/2026,inventory_manager_mi00,08:19:00,000,00/00/0000
0000735474,U,D,204,ADRESSE,ME020000130085,ME21N,06/04/2026,buyer_mi00,09:36:00,000,00/00/0000
0000735476,U,D,204,ADRESSE,ME020000130086,,06/04/2026,inventory_manager_mi00,08:34:00,000,00/00/0000
0000735479,U,D,204,ADRESSE,ME020000130087,ME21N,06/04/2026,buyer_mi00,11:41:00,000,00/00/0000
0000735481,U,D,204,ADRESSE,ME020000130088,,06/04/2026,inventory_manager_mi00,09:35:43,000,00/00/0000
0000735484,U,D,204,ADRESSE,ME020000130089,ME21N,06/04/2026,buyer_mi00,11:52:00,000,00/00/0000
0000735486,U,D,204,ADRESSE,ME020000130090,,06/04/2026,inventory_manager_mi00,09:49:37,000,00/00/0000
0000735489,U,D,204,ADRESSE,ME020000130091,ME21N,06/04/2026,buyer_mi00,12:57:00,000,00/00/0000
0000735491,U,D,204,ADRESSE,ME020000130092,,06/04/2026,inventory_manager_mi00,11:04:32,000,00/00/0000
0000735494,U,D,204,ADRESSE,ME020000130093,ME21N,06/04/2026,buyer_mi00,13:36:32,000,00/00/0000
0000735496,U,D,204,ADRESSE,ME020000130094,,06/04/2026,inventory_manager_mi00,13:26:51,000,00/00/0000
0000735499,U,D,204,ADRESSE,ME020000130095,ME21N,06/04/2026,buyer_mi00,14:46:51,000,00/00/0000
0000735501,U,D,204,ADRESSE,ME020000130096,,06/04/2026,inventory_manager_mi00,14:03:53,000,00/00/0000
0000735504,U,D,204,ADRESSE,ME020000130097,ME21N,06/04/2026,buyer_mi00,15:13:53,000,00/00/0000
0000735506,U,D,204,ADRESSE,ME020000130098,,06/04/2026,inventory_manager_mi00,14:22:48,000,00/00/0000
0000735509,U,D,204,ADRESSE,ME020000130099,ME21N,06/05/2026,buyer_mi00,08:20:00,000,00/00/0000
0000735511,U,D,204,ADRESSE,ME020000130100,,06/04/2026,inventory_manager_mi00,15:14:40,000,00/00/0000
0000735514,U,D,204,ADRESSE,ME020000130101,ME21N,06/05/2026,buyer_mi00,08:13:00,000,00/00/0000
0000735516,U,D,204,ADRESSE,ME020000130102,,06/04/2026,inventory_manager_mi00,15:31:40,000,00/00/0000
0000735519,U,D,204,ADRESSE,ME020000130103,ME21N,06/05/2026,buyer_mi00,08:33:00,000,00/00/0000
0000735521,U,D,204,ADRESSE,ME020000130104,,06/04/2026,inventory_manager_mi00,16:15:35,000,00/00/0000
0000735524,U,D,204,ADRESSE,ME020000130105,ME21N,06/05/2026,buyer_mi00,08:40:00,000,00/00/0000
0000735526,U,D,204,ADRESSE,ME020000130106,,06/05/2026,inventory_manager_mi00,08:26:35,000,00/00/0000
0000735529,U,D,204,ADRESSE,ME020000130107,ME21N,06/05/2026,buyer_mi00,11:30:37,000,00/00/0000
0000735531,U,D,204,ADRESSE,ME020000130108,,06/05/2026,inventory_manager_mi00,08:59:37,000,00/00/0000
0000735463,U,D,204,BANF,0010000340,ME21N,06/03/2026,buyer_mi00,16:03:05,000,00/00/0000
0000735460,I,D,204,BANF,0010000341,,06/03/2026,inventory_manager_mi00,15:50:31,000,00/00/0000
0000735468,U,D,204,BANF,0010000341,ME21N,06/04/2026,buyer_mi00,08:13:00,000,00/00/0000
0000735470,I,D,204,BANF,0010000342,,06/04/2026,inventory_manager_mi00,08:19:00,000,00/00/0000
0000735473,U,D,204,BANF,0010000342,ME21N,06/04/2026,buyer_mi00,09:36:00,000,00/00/0000
0000735475,I,D,204,BANF,0010000343,,06/04/2026,inventory_manager_mi00,08:34:00,000,00/00/0000
0000735478,U,D,204,BANF,0010000343,ME21N,06/04/2026,buyer_mi00,11:41:00,000,00/00/0000
0000735480,I,D,204,BANF,0010000344,,06/04/2026,inventory_manager_mi00,09:35:43,000,00/00/0000
0000735483,U,D,204,BANF,0010000344,ME21N,06/04/2026,buyer_mi00,11:52:00,000,00/00/0000
0000735485,I,D,204,BANF,0010000345,,06/04/2026,inventory_manager_mi00,09:49:37,000,00/00/0000
0000735488,U,D,204,BANF,0010000345,ME21N,06/04/2026,buyer_mi00,12:57:00,000,00/00/0000
0000735490,I,D,204,BANF,0010000346,,06/04/2026,inventory_manager_mi00,11:04:32,000,00/00/0000
0000735493,U,D,204,BANF,0010000346,ME21N,06/04/2026,buyer_mi00,13:36:32,000,00/00/0000
0000735495,I,D,204,BANF,0010000347,,06/04/2026,inventory_manager_mi00,13:26:51,000,00/00/0000
0000735498,U,D,204,BANF,0010000347,ME21N,06/04/2026,buyer_mi00,14:46:51,000,00/00/0000
0000735500,I,D,204,BANF,0010000348,,06/04/2026,inventory_manager_mi00,14:03:53,000,00/00/0000
0000735503,U,D,204,BANF,0010000348,ME21N,06/04/2026,buyer_mi00,15:13:53,000,00/00/0000
0000735505,I,D,204,BANF,0010000349,,06/04/2026,inventory_manager_mi00,14:22:48,000,00/00/0000
0000735508,U,D,204,BANF,0010000349,ME21N,06/05/2026,buyer_mi00,08:20:00,000,00/00/0000
0000735510,I,D,204,BANF,0010000350,,06/04/2026,inventory_manager_mi00,15:14:40,000,00/00/0000
0000735513,U,D,204,BANF,0010000350,ME21N,06/05/2026,buyer_mi00,08:13:00,000,00/00/0000
0000735515,I,D,204,BANF,0010000351,,06/04/2026,inventory_manager_mi00,15:31:40,000,00/00/0000
0000735518,U,D,204,BANF,0010000351,ME21N,06/05/2026,buyer_mi00,08:33:00,000,00/00/0000
0000735520,I,D,204,BANF,0010000352,,06/04/2026,inventory_manager_mi00,16:15:35,000,00/00/0000
0000735523,U,D,204,BANF,0010000352,ME21N,06/05/2026,buyer_mi00,08:40:00,000,00/00/0000
0000735525,I,D,204,BANF,0010000353,,06/05/2026,inventory_manager_mi00,08:26:35,000,00/00/0000
0000735528,U,D,204,BANF,0010000353,ME21N,06/05/2026,buyer_mi00,11:30:37,000,00/00/0000
0000735530,I,D,204,BANF,0010000354,,06/05/2026,inventory_manager_mi00,08:59:37,000,00/00/0000
0000735462,I,D,204,EINKBELEG,4500000302,ME21N,06/03/2026,buyer_mi00,16:03:05,000,00/00/0000
0000735467,I,D,204,EINKBELEG,4500000303,ME21N,06/04/2026,buyer_mi00,08:13:00,000,00/00/0000
0000735472,I,D,204,EINKBELEG,4500000304,ME21N,06/04/2026,buyer_mi00,09:36:00,000,00/00/0000
0000735477,I,D,204,EINKBELEG,4500000305,ME21N,06/04/2026,buyer_mi00,11:41:00,000,00/00/0000
0000735482,I,D,204,EINKBELEG,4500000306,ME21N,06/04/2026,buyer_mi00,11:52:00,000,00/00/0000
0000735487,I,D,204,EINKBELEG,4500000307,ME21N,06/04/2026,buyer_mi00,12:57:00,000,00/00/0000
0000735492,I,D,204,EINKBELEG,4500000308,ME21N,06/04/2026,buyer_mi00,13:36:32,000,00/00/0000
0000735497,I,D,204,EINKBELEG,4500000309,ME21N,06/04/2026,buyer_mi00,14:46:51,000,00/00/0000
0000735502,I,D,204,EINKBELEG,4500000310,ME21N,06/04/2026,buyer_mi00,15:13:53,000,00/00/0000
0000735507,I,D,204,EINKBELEG,4500000311,ME21N,06/05/2026,buyer_mi00,08:20:00,000,00/00/0000
0000735512,I,D,204,EINKBELEG,4500000312,ME21N,06/05/2026,buyer_mi00,08:13:00,000,00/00/0000
0000735517,I,D,204,EINKBELEG,4500000313,ME21N,06/05/2026,buyer_mi00,08:33:00,000,00/00/0000
0000735522,I,D,204,EINKBELEG,4500000314,ME21N,06/05/2026,buyer_mi00,08:40:00,000,00/00/0000
0000735527,I,D,204,EINKBELEG,4500000315,ME21N,06/05/2026,buyer_mi00,11:30:37,000,00/00/0000
0000735465,U,D,204,KRED,0001003070,XK02,06/22/2026,chief_accountant_US,11:03:00,000,00/00/0000
0000735534,U,D,204,ADRESSE,ME020000130109,ME21N,06/05/2026,buyer_mi00,11:00:37,000,00/00/0000
0000735536,U,D,204,ADRESSE,ME020000130110,,06/05/2026,inventory_manager_mi00,09:11:37,000,00/00/0000
0000735539,U,D,204,ADRESSE,ME020000130111,ME21N,06/05/2026,buyer_mi00,11:23:37,000,00/00/0000
0000735541,U,D,204,ADRESSE,ME020000130112,,06/05/2026,inventory_manager_mi00,09:45:23,000,00/00/0000
0000735544,U,D,204,ADRESSE,ME020000130113,ME21N,06/05/2026,buyer_mi00,11:08:23,000,00/00/0000
0000735546,U,D,204,ADRESSE,ME020000130114,,06/05/2026,inventory_manager_mi00,10:07:56,000,00/00/0000
0000735549,U,D,204,ADRESSE,ME020000130115,ME21N,06/05/2026,buyer_mi00,11:43:37,000,00/00/0000
0000735551,U,D,204,ADRESSE,ME020000130116,,06/05/2026,inventory_manager_mi00,14:46:55,000,00/00/0000
0000735554,U,D,204,ADRESSE,ME020000130117,ME21N,06/08/2026,buyer_mi00,08:14:00,000,00/00/0000
0000735556,U,D,204,ADRESSE,ME020000130118,,06/05/2026,inventory_manager_mi00,15:24:07,000,00/00/0000
0000735559,U,D,204,ADRESSE,ME020000130119,ME21N,06/08/2026,buyer_mi00,08:22:00,000,00/00/0000
0000735561,U,D,204,ADRESSE,ME020000130120,,06/05/2026,inventory_manager_mi00,15:51:06,000,00/00/0000
0000735566,U,D,204,ADRESSE,ME020000130121,ME21N,06/08/2026,buyer_mi00,08:31:00,000,00/00/0000
0000735568,U,D,204,ADRESSE,ME020000130122,,06/08/2026,inventory_manager_mi00,08:14:00,000,00/00/0000
0000735571,U,D,204,ADRESSE,ME020000130123,ME21N,06/08/2026,buyer_mi00,10:15:00,000,00/00/0000
0000735573,U,D,204,ADRESSE,ME020000130124,,06/08/2026,inventory_manager_mi00,08:31:00,000,00/00/0000
0000735576,U,D,204,ADRESSE,ME020000130125,ME21N,06/08/2026,buyer_mi00,09:34:00,000,00/00/0000
0000735578,U,D,204,ADRESSE,ME020000130126,,06/08/2026,inventory_manager_mi00,09:01:31,000,00/00/0000
0000735581,U,D,204,ADRESSE,ME020000130127,ME21N,06/08/2026,buyer_mi00,11:32:31,000,00/00/0000
0000735583,U,D,204,ADRESSE,ME020000130128,,06/08/2026,inventory_manager_mi00,09:20:31,000,00/00/0000
0000735586,U,D,204,ADRESSE,ME020000130129,ME21N,06/08/2026,buyer_mi00,11:50:31,000,00/00/0000
0000735588,U,D,204,ADRESSE,ME020000130130,,06/08/2026,inventory_manager_mi00,10:33:15,000,00/00/0000
0000735591,U,D,204,ADRESSE,ME020000130131,ME21N,06/08/2026,buyer_mi00,12:58:00,000,00/00/0000
0000735593,U,D,204,ADRESSE,ME020000130132,,06/08/2026,inventory_manager_mi00,11:05:54,000,00/00/0000
0000735596,U,D,204,ADRESSE,ME020000130133,ME21N,06/08/2026,buyer_mi00,13:58:54,000,00/00/0000
0000735598,U,D,204,ADRESSE,ME020000130134,,06/08/2026,inventory_manager_mi00,12:49:00,000,00/00/0000
0000735601,U,D,204,ADRESSE,ME020000130135,ME21N,06/08/2026,buyer_mi00,15:34:00,000,00/00/0000
0000735603,U,D,204,ADRESSE,ME020000130136,,06/08/2026,inventory_manager_mi00,13:25:56,000,00/00/0000
